part,requirement,experiment_name,status,selected_run_id,selected_created_at,selected_report_ppl,candidate_count,notes
Part 1,Baseline full-attention Transformer at context 1024,coreml_p1_baseline_full_abs_ctx1024,selected,gyealu4a,2026-05-20T16:05:30Z,65.02193033093884,3,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sliding-window attention at context 512,coreml_p2_sliding_window_ctx512,selected,s7jtrjqq,2026-05-21T12:08:01Z,64.13368240593338,3,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sliding-window attention at context 1024,coreml_p2_sliding_window_ctx1024,selected,jyniv41v,2026-05-21T12:43:44Z,70.53222320324154,3,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sliding-window attention at context 2048,coreml_p2_sliding_window_ctx2048,selected,30zfwy42,2026-05-21T13:24:48Z,122.8585729862938,3,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sliding-window attention at context 4096,coreml_p2_sliding_window_ctx4096,selected,pnuksk52,2026-05-21T14:17:47Z,153.58791262066225,3,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sparse-block attention at context 512,coreml_p2_sparse_block_ctx512,selected,c27xrb4g,2026-05-21T15:32:32Z,69.0807593862718,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sparse-block attention at context 1024,coreml_p2_sparse_block_ctx1024,selected,0gmcbzac,2026-05-21T16:08:06Z,60.67511431202836,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sparse-block attention at context 2048,coreml_p2_sparse_block_ctx2048,selected,0zx17pfo,2026-05-21T16:49:01Z,79.0919157209101,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Sparse-block attention at context 4096,coreml_p2_sparse_block_ctx4096,selected,rf7qslez,2026-05-21T17:41:58Z,96.90368609641992,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Grouped-query attention at context 512,coreml_p2_gqa_ctx512,selected,vqwj1dkl,2026-05-21T18:56:23Z,62.69940356967389,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Grouped-query attention at context 1024,coreml_p2_gqa_ctx1024,selected,mdbgwpzd,2026-05-21T19:31:01Z,65.76611203687968,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Grouped-query attention at context 2048,coreml_p2_gqa_ctx2048,selected,2k9836jo,2026-05-21T20:11:14Z,109.69736333756832,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 2,Grouped-query attention at context 4096,coreml_p2_gqa_ctx4096,selected,0i87yv2e,2026-05-21T21:03:05Z,149.98078028669966,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 3,RoPE trained at context 512 with extrapolation eval,coreml_p3_rope_train512,selected,uz6g881m,2026-05-21T22:15:50Z,59.094672492375096,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 3,ALiBi trained at context 512 with extrapolation eval,coreml_p3_alibi_train512,selected,38i0pnm1,2026-05-21T22:52:22Z,58.804232091297216,1,Selected lowest recent report perplexity; ties prefer latest created run.
Part 3,Relative positional encoding trained at context 512 with extrapolation eval,coreml_p3_relative_train512,selected,3b7o8z8s,2026-05-23T06:55:35Z,61.70058135059122,2,Selected lowest recent report perplexity; ties prefer latest created run.
Part 4,Pre-attention Conv1D hybrid with GQA and RoPE,coreml_p4_pre_attention_gqa_rope_ctx1024,selected,e0lzy1ft,2026-05-22T05:23:11Z,63.23261318670567,2,Selected lowest recent report perplexity; ties prefer latest created run.
Part 4,Gated convolutional FFN hybrid with GQA and RoPE,coreml_p4_gated_ffn_gqa_rope_ctx1024,selected,h03r0qck,2026-05-23T08:07:40Z,71.70352101849419,2,Selected lowest recent report perplexity; ties prefer latest created run.
