_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779397412.899982,26.568580051,1,,,,,,,6e-07,3.7103631496429443,1,1,36872.309322539106,6.929134845733643,893772.6020812988,4582.821167780015,4.124553259325099e-07,10.949386596679688,10.931125259399414,55889.13411052016,1,10.931125259399414,55889.13411052016
1,1779397590.4326952,204.100975512,500,,,,,,,0.0003,1.0323430299758911,1,1,36878.65152090331,7.168347358703613,864658.7515364505,11485.192814336951,0.00020622766296625496,6.531543731689453,6.430820333957672,620.682906491351,500,6.430820333957672,620.682906491351
2,1779397768.4598346,382.128277045,1000,,,,,,,0.000298747619491258,0.8515939116477966,1,1,36758.940417519836,7.168347358703613,863860.339673692,11495.807856801453,0.0004124553259325099,5.9170756340026855,6.028621172904968,415.1422252253572,1000,6.028621172904968,415.1422252253572
3,1779397946.4707637,560.139171618,1500,,,,,,,0.00029500377892902453,1.305600643157959,1,1,36769.022634234134,7.168347358703613,863674.3277981099,11498.283740027282,0.0006186829888987649,5.31204891204834,5.829075300693512,340.0440951074567,1500,5.829075300693512,340.0440951074567
4,1779398124.5273204,738.195644239,2000,,,,,,,0.0002888382139419393,1.2793854475021362,1,1,36806.99229513664,7.168347358703613,863593.5562258596,11499.359170070926,0.0008249106518650198,5.463943004608154,5.7439146637916565,312.28451014882467,2000,5.7439146637916565,312.28451014882467
5,1779398304.0046785,917.672987297,2500,,,,,,,0.0002803657773400148,1.1937850713729858,1,1,36896.900036133295,7.168347358703613,864926.6712513438,11481.635160622955,0.0010311383148312748,5.268884658813477,5.63163206577301,279.1172838670459,2500,5.63163206577301,279.1172838670459
6,1779398481.827282,1095.495651954,3000,,,,,,,0.0002697442945866792,1.457484245300293,1,1,36802.854339722806,7.168347358703613,864497.4920203626,11487.33521110792,0.0012373659777975298,5.467148303985596,5.460668206214905,235.25457042244642,3000,5.460668206214905,235.25457042244642
7,1779398658.0583904,1271.726825949,3500,,,,,,,0.0002571716238090099,1.1790679693222046,1,1,36887.911399794335,7.168347358703613,864203.5451100287,11491.242469661047,0.0014435936407637849,4.679347991943359,5.460668206214905,235.25457042244642,3000,5.473870730400085,238.38111832556888
8,1779398836.2911258,1449.959530363,4000,,,,,,,0.00024288197007518844,1.306464672088623,1,1,36900.05277495184,7.168347358703613,863176.2295314488,11504.918856941465,0.0016498213037300397,5.292999744415283,5.425923943519592,227.2211889040018,4000,5.425923943519592,227.2211889040018
9,1779399014.4310682,1628.099526457,4500,,,,,,,0.00022714152259721256,1.6670101881027222,1,1,36774.24919477224,7.168347358703613,863282.0554445998,11503.508520034675,0.0018560489666962947,4.959479331970215,5.323921942710877,205.18703780522566,4500,5.323921942710877,205.18703780522566
