_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779373095.1587,26.674081007,1,,,,,,,6e-07,3.124460458755493,1,1,34064.14054784552,6.9357380867004395,902423.8586425781,4538.887088115317,4.124553259325099e-07,10.897705078125,10.908331894874573,54629.64127245295,1,10.908331894874573,54629.64127245295
1,1779373278.3876832,209.902955253,500,,,,,,,0.0003,0.913292646408081,1,1,34051.6369773244,7.186562538146973,891904.7905343866,11134.341451456894,0.00020622766296625496,6.332849025726318,6.510564470291138,672.2057506956878,500,6.510564470291138,672.2057506956878
2,1779373462.208384,393.723881927,1000,,,,,,,0.000298747619491258,0.9891592860221863,1,1,33958.528299202015,7.186562538146973,891758.5671778285,11136.167170704255,0.0004124553259325099,5.692601203918457,6.06172868013382,429.11660140044046,1000,6.06172868013382,429.11660140044046
3,1779373645.7910411,577.306191784,1500,,,,,,,0.00029500377892902453,0.9831437468528748,1,1,34055.74966291291,7.186562538146973,891254.8517872548,11142.461059354217,0.0006186829888987649,5.5039777755737305,5.754954934120178,315.75131759263326,1500,5.754954934120178,315.75131759263326
4,1779373829.4914255,761.006572267,2000,,,,,,,0.0002888382139419393,1.045208215713501,1,1,34068.14210803282,7.186562538146973,891104.9196809066,11144.335824737771,0.0008249106518650198,5.305761337280273,5.669075810909272,289.7666114639089,2000,5.669075810909272,289.7666114639089
5,1779374014.8443396,946.359411073,2500,,,,,,,0.0002803657773400148,1.0322332382202148,1,1,34068.22858254479,7.186562538146973,892605.3511727477,11125.602671945084,0.0010311383148312748,5.247622013092041,5.5860579252243046,266.68226344929053,2500,5.5860579252243046,266.68226344929053
6,1779374198.7048385,1130.219980934,3000,,,,,,,0.0002697442945866792,1.3671435117721558,1,1,34060.56518655923,7.186562538146973,892421.4083201936,11127.895843167535,0.0012373659777975298,4.772831916809082,5.379628694057464,216.94170872279284,3000,5.379628694057464,216.94170872279284
7,1779374382.421011,1313.936280644,3500,,,,,,,0.0002571716238090099,1.0076924562454224,1,1,34075.59782334943,7.186562538146973,892246.5007281946,11130.077250956027,0.0014435936407637849,5.12362813949585,5.3235924243927,205.11943605623546,3500,5.3235924243927,205.11943605623546
8,1779374566.1284647,1497.643692218,4000,,,,,,,0.00024288197007518844,1.040955901145935,1,1,34078.57410110463,7.186562538146973,892043.9037678763,11132.605063555417,0.0016498213037300397,4.260924339294434,5.285835564136505,197.51915443835912,4000,5.285835564136505,197.51915443835912
9,1779374749.8352623,1681.35035858,4500,,,,,,,0.00022714152259721256,1.0504053831100464,1,1,34071.8228515476,7.186562538146973,891892.4708105667,11134.49525027916,0.0018560489666962947,4.068215370178223,5.250266492366791,190.6170596819781,4500,5.250266492366791,190.6170596819781
10,1779374935.5103347,1867.025686249,5000,,,,,,,0.00021024349612952672,1.1999921798706055,1,1,34070.598154988256,7.186562538146973,892638.6811336895,11125.18725649161,0.0020622766296625496,5.197971343994141,5.096421718597412,163.43603958429458,5000,5.096421718597412,163.43603958429458
11,1779375117.5175867,2049.032859237,5500,,,,,,,0.0001925026689329299,1.2279045581817627,1,1,34066.57872457159,7.186562538146973,892557.6570372118,11126.197172476865,0.0022685042926288046,4.903789043426514,5.096421718597412,163.43603958429458,5000,5.110933554172516,165.82508934004971
12,1779375299.3658588,2230.880842106,6000,,,,,,,0.0001742495190511606,1.6483895778656006,1,1,34077.68116318829,7.186562538146973,891664.5835698154,11137.340949711997,0.0024747319555950597,4.123854160308838,5.096421718597412,163.43603958429458,5000,5.142192780971527,171.0905213351163
13,1779375481.269459,2412.784579201,6500,,,,,,,0.0001558240681302303,1.4823572635650635,1,1,34074.286349694106,7.186562538146973,890921.4925945268,11146.630272752505,0.0026809596185613147,4.1737871170043945,5.096421718597412,163.43603958429458,5000,5.126674032211303,168.45590635787482
14,1779375663.2097187,2594.724823685,7000,,,,,,,0.00013756954745850397,1.0758270025253296,1,1,34070.88875298436,7.186562538146973,890299.094447475,11154.422757402775,0.0028871872815275697,3.783315896987915,5.096421718597412,163.43603958429458,5000,5.135318315029144,169.9183988472327
15,1779375848.4420938,2779.957360225,7500,,,,,,,0.00011982600421721645,1.433417558670044,1,1,34072.25532193165,7.186562538146973,890253.0721480881,11154.999393642167,0.0030934149444938244,4.598459243774414,5.075828564167023,160.10479413249084,7500,5.075828564167023,160.10479413249084
16,1779376032.0505748,2963.565796426,8000,,,,,,,0.00010292396704487966,1.2051385641098022,1,1,34074.04759622337,7.186562538146973,890298.5419686972,11154.429679330156,0.0032996426074600794,4.0046796798706055,5.0342731237411495,153.58791262066225,8000,5.0342731237411495,153.58791262066225
17,1779376214.049031,3145.564236203,8500,,,,,,,8.717828891413191e-05,1.2240115404129028,1,1,34078.023796623216,7.186562538146973,890306.9797765525,11154.32396418189,0.0035058702704263344,4.174616813659668,5.0342731237411495,153.58791262066225,8000,5.057363367080688,157.1755552706383
18,1779376395.9351044,3327.450265075,9000,,,,,,,7.288228201658188e-05,1.3672775030136108,1,1,34080.92434353625,7.186562538146973,889843.9444953316,11160.128179140629,0.0037120979333925895,4.4695353507995605,5.0342731237411495,153.58791262066225,8000,5.039931845664978,154.45948758348544
19,1779376578.0793848,3509.594729641,9500,,,,,,,6.030225391164706e-05,1.0765655040740967,1,1,34076.87825122077,7.186562538146973,889497.1086502727,11164.479775621758,0.0039183255963588445,3.1072194576263428,5.0342731237411495,153.58791262066225,8000,5.078561675548554,160.542976895956
20,1779376761.6526368,3693.167757652,10000,,,,,,,4.967254672059517e-05,1.373288631439209,1,1,34077.59464068324,7.186562538146973,889525.414071208,11164.124512810184,0.004124553259325099,3.8293728828430176,5.0342731237411495,153.58791262066225,8000,5.044300854206085,155.13579873278803
21,1779376943.4671154,3874.982300257,10500,,,,,,,4.11911717762171e-05,1.1728442907333374,1,1,34083.7665276815,7.186562538146973,889155.4617460959,11168.769587826922,0.004330780922291355,3.36647367477417,5.0342731237411495,153.58791262066225,8000,5.05172016620636,156.29108002268606
22,1779377125.2829642,4056.798280732,11000,,,,,,,3.501612104634899e-05,1.2094640731811523,1,1,34072.86425884402,7.186562538146973,888812.5479832855,11173.078623308042,0.004537008585257609,3.7374229431152344,5.0342731237411495,153.58791262066225,8000,5.061114037036896,157.76617582264151
