_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779385346.1456125,26.813591028,1,,,,,,,6e-07,3.6316723823547363,1,1,34865.18514916432,6.9379353523254395,974567.6517486572,4202.8893454965255,4.124553259325099e-07,10.906320571899414,10.893529081344605,53826.924768619414,1,10.893529081344605,53826.924768619414
1,1779385527.9303906,208.59909798,500,,,,,,,0.0003,0.9088377952575684,1,1,34796.56498009443,7.184380531311035,885487.5065520335,11215.033985819928,0.00020622766296625496,6.366304397583008,6.547781455516815,697.6945890586043,500,6.547781455516815,697.6945890586043
2,1779385710.0449486,390.71318146,1000,,,,,,,0.000298747619491258,1.1788049936294556,1,1,34866.467637125315,7.184380531311035,884296.3602834999,11230.140624819778,0.0004124553259325099,5.73020601272583,6.050481200218201,424.3171624377006,1000,6.050481200218201,424.3171624377006
3,1779385892.2885818,572.956521968,1500,,,,,,,0.00029500377892902453,1.2564469575881958,1,1,34851.254136676565,7.184380531311035,884118.3366326062,11232.401895230361,0.0006186829888987649,5.490314483642578,5.6869813203811646,295.00175939744327,1500,5.6869813203811646,295.00175939744327
4,1779386074.5852199,755.252951774,2000,,,,,,,0.0002888382139419393,1.2686898708343506,1,1,34860.34949663317,7.184380531311035,884049.7217749113,11233.27368969919,0.0008249106518650198,5.25651216506958,5.532580542564392,252.795419379239,2000,5.532580542564392,252.795419379239
5,1779386258.4625003,939.130511004,2500,,,,,,,0.0002803657773400148,1.2096353769302368,1,1,34784.953197869974,7.184380531311035,885548.9097141614,11214.256345485725,0.0010311383148312748,5.205783367156982,5.412435007095337,224.17679570660562,2500,5.412435007095337,224.17679570660562
6,1779386440.9147048,1121.582592407,3000,,,,,,,0.0002697442945866792,1.3383705615997314,1,1,34756.319428360475,7.184380531311035,885396.2832149636,11216.189482906297,0.0012373659777975298,4.775299072265625,5.1671958565711975,175.42223803104991,3000,5.1671958565711975,175.42223803104991
7,1779386623.3385165,1304.006487216,3500,,,,,,,0.0002571716238090099,1.0960779190063477,1,1,34726.42811295538,7.184380531311035,885280.1064130827,11217.661402374468,0.0014435936407637849,4.989200115203857,5.126207196712494,168.377283514198,3500,5.126207196712494,168.377283514198
8,1779386805.8044708,1486.47231719,4000,,,,,,,0.00024288197007518844,1.2921284437179565,1,1,34783.45314157794,7.184380531311035,885204.1801205573,11218.623570719597,0.0016498213037300397,4.137513637542725,5.038959181308746,154.30932338695075,4000,5.038959181308746,154.30932338695075
9,1779386988.3555896,1669.023309107,4500,,,,,,,0.00022714152259721256,1.1759463548660278,1,1,34864.20342129035,7.184380531311035,885189.9813745589,11218.803521227266,0.0018560489666962947,3.9073739051818848,4.970286440849304,144.06814846400994,4500,4.970286440849304,144.06814846400994
10,1779387172.6474128,1853.31533451,5000,,,,,,,0.00021024349612952672,1.1913495063781738,1,1,34858.26713821093,7.184380531311035,886002.5826478561,11208.514144870174,0.0020622766296625496,5.085018634796143,4.818684315681457,123.80209910014855,5000,4.818684315681457,123.80209910014855
11,1779387355.1512456,2035.819032731,5500,,,,,,,0.0001925026689329299,1.2387884855270386,1,1,34874.52338383911,7.184380531311035,885952.2349295915,11209.151112745056,0.0022685042926288046,4.6146931648254395,4.798782730102539,121.36259653253258,5500,4.798782730102539,121.36259653253258
12,1779387535.9741862,2216.642171207,6000,,,,,,,0.0001742495190511606,1.448970913887024,1,1,34868.48575413015,7.184380531311035,885879.1124173097,11210.076342021175,0.0024747319555950597,4.001839637756348,4.798782730102539,121.36259653253258,5500,4.802410304546356,121.80364787577949
13,1779387718.451481,2399.119202521,6500,,,,,,,0.0001558240681302303,1.6307201385498047,1,1,34768.81275369202,7.184380531311035,885151.6298310633,11219.289605663776,0.0026809596185613147,4.070670127868652,4.746019637584686,115.12513158901108,6500,4.746019637584686,115.12513158901108
14,1779387901.007386,2581.675254858,7000,,,,,,,0.00013756954745850397,1.2332826852798462,1,1,34743.58684966888,7.184380531311035,885153.8669683795,11219.261250038417,0.0028871872815275697,3.7130675315856934,4.73972088098526,114.4022653757554,7000,4.73972088098526,114.4022653757554
15,1779388085.462151,2766.129865519,7500,,,,,,,0.00011982600421721645,1.524022102355957,1,1,34857.354600402046,7.184380531311035,885668.838057829,11212.737823967089,0.0030934149444938244,4.415150165557861,4.672969174385071,107.01501742552615,7500,4.672969174385071,107.01501742552615
16,1779388267.792205,2948.460039629,8000,,,,,,,0.00010292396704487966,1.4474974870681763,1,1,34735.00176654102,7.184380531311035,885691.8410494896,11212.44660923223,0.0032996426074600794,3.8591995239257812,4.608466398715973,100.33016512108793,8000,4.608466398715973,100.33016512108793
17,1779388448.2902439,3128.958175346,8500,,,,,,,8.717828891413191e-05,1.3840891122817993,1,1,34872.2363765517,7.184380531311035,885554.6356304934,11214.183835116542,0.0035058702704263344,4.0880446434021,4.608466398715973,100.33016512108793,8000,4.6156540513038635,101.05390135856057
18,1779388630.4149213,3311.08281493,9000,,,,,,,7.288228201658188e-05,1.4885667562484741,1,1,34757.57591766267,7.184380531311035,884964.4222182495,11221.66296257148,0.0037120979333925895,4.326096057891846,4.589998984336853,98.49433012483426,9000,4.589998984336853,98.49433012483426
19,1779388810.8379767,3491.505711149,9500,,,,,,,6.030225391164706e-05,1.1807987689971924,1,1,34804.451269572324,7.184380531311035,884865.9826501408,11222.91135009813,0.0039183255963588445,3.0281662940979004,4.589998984336853,98.49433012483426,9000,4.614075779914856,100.89453667074302
20,1779388995.1835873,3675.85136244,10000,,,,,,,4.967254672059517e-05,1.6515185832977295,1,1,34814.67447546767,7.184380531311035,884786.0803460391,11223.924856634367,0.004124553259325099,3.873532772064209,4.5762399435043335,97.14842304299678,10000,4.5762399435043335,97.14842304299678
21,1779389175.7457356,3856.414024545,10500,,,,,,,4.11911717762171e-05,1.2699644565582275,1,1,34875.549191363105,7.184380531311035,884852.7798558868,11223.078805965206,0.004330780922291355,3.18597412109375,4.5762399435043335,97.14842304299678,10000,4.579202246665955,97.43663279529468
22,1779389356.332014,4036.999802212,11000,,,,,,,3.501612104634899e-05,1.3444187641143799,1,1,34766.2838321662,7.184380531311035,884436.6024822654,11228.359898412424,0.004537008585257609,3.619197368621826,4.5762399435043335,97.14842304299678,10000,4.580722296237946,97.5848539304686
23,1779389538.5126913,4219.180442776,11500,,,,,,,3.126242404244361e-05,1.3179196119308472,1,1,34766.62604361221,7.184380531311035,884030.5835297152,11233.51687715247,0.004743236248223864,3.8725533485412598,4.573717558383942,96.90368609641992,11500,4.573717558383942,96.90368609641992
24,1779389718.9787018,4399.646416642,12000,,,,,,,3.0000005037416198e-05,1.4866639375686646,1,1,34745.403676354785,7.184380531311035,884003.6697308753,11233.85888547647,0.004949463911190119,3.5315017700195312,4.573717558383942,96.90368609641992,11500,4.577132833003998,97.23520458724009
25,1779389768.649172,4449.317097647,,4.104116606712341,4.45091028213501,4.269386959075928,60.589196809465975,85.70492416619174,71.47780336648319,,,,,,,,,,,,,,,
