_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779377577.0665915,23.396240729,1,,,,,,,6e-07,2.588897228240967,1,1,85932.12937108359,3.39847993850708,252010.13209557533,4933.059816533571,3.2947735007956877e-06,10.899307250976562,10.898821496963501,54112.55439463016,1,10.898821496963501,54112.55439463016
1,1779377662.1284685,108.457975313,500,,,,,,,0.0003,0.836808443069458,1,1,85732.82396962214,3.6472105979919434,52064.92703457164,23877.514611218314,0.001647386750397844,6.232573986053467,6.1172391176223755,453.61059858254526,500,6.1172391176223755,453.61059858254526
2,1779377747.693678,194.023232231,1000,,,,,,,0.000298747619491258,0.8371815085411072,1,1,84840.1767198584,3.6472105979919434,51971.27607422662,23920.541304863462,0.003294773500795688,5.274078369140625,5.371678626537323,215.22384510430751,1000,5.371678626537323,215.22384510430751
3,1779377832.8782434,279.207896498,1500,,,,,,,0.00029500377892902453,0.8764500021934509,1,1,85344.35906331486,3.6472105979919434,51904.75300727416,23951.198762582982,0.004942160251193531,5.038487434387207,5.126982831954956,168.50793353115043,1500,5.126982831954956,168.50793353115043
4,1779377918.0344553,364.36412721,2000,,,,,,,0.0002888382139419393,1.04117751121521,1,1,85547.0508458415,3.6472105979919434,51850.74737820935,23976.145356825768,0.006589547001591376,4.844318866729736,4.827864229679108,124.94382417377777,2000,4.827864229679108,124.94382417377777
5,1779378004.5372217,450.866677605,2500,,,,,,,0.0002803657773400148,1.0819621086120605,1,1,84859.8628372821,3.6472105979919434,51974.28634646673,23919.155863205284,0.00823693375198922,4.515247344970703,4.749257910251617,115.49854243266537,2500,4.749257910251617,115.49854243266537
6,1779378089.597374,535.927168587,3000,,,,,,,0.0002697442945866792,1.0815443992614746,1,1,85769.14150166915,3.6472105979919434,51926.47972750179,23941.17726685745,0.009884320502387063,4.535052299499512,4.5566637992858885,95.26512549865367,3000,4.5566637992858885,95.26512549865367
7,1779378174.9301126,621.259630213,3500,,,,,,,0.0002571716238090099,1.1304854154586792,1,1,85269.24305017223,3.6472105979919434,51901.93359258713,23952.49983861019,0.011531707252784908,4.539005279541016,4.488202202320099,88.9613674874242,3500,4.488202202320099,88.9613674874242
8,1779378260.264426,706.593906023,4000,,,,,,,0.00024288197007518844,1.162527084350586,1,1,84934.94159374111,3.6472105979919434,51891.41868539304,23957.353402441167,0.013179094003182752,4.358146667480469,4.429536962509156,83.89256251379503,4000,4.429536962509156,83.89256251379503
9,1779378345.6587868,791.988331442,4500,,,,,,,0.00022714152259721256,1.1434547901153564,1,1,85127.80200442518,3.6472105979919434,51883.34255207814,23961.082591241135,0.014826480753580595,3.8905673027038574,4.3806421756744385,79.8893199137439,4500,4.3806421756744385,79.8893199137439
10,1779378432.5475652,878.877157969,5000,,,,,,,0.00021024349612952672,1.2409608364105225,1,1,85660.07335031204,3.6472105979919434,51969.53434838524,23921.34298656896,0.01647386750397844,3.7831056118011475,4.373379814624786,79.31123649453802,5000,4.373379814624786,79.31123649453802
11,1779378517.65632,963.98590353,5500,,,,,,,0.0001925026689329299,1.3812288045883179,1,1,85511.51494285183,3.6472105979919434,51944.597743735394,23932.82670381117,0.018121254254376284,3.735092878341675,4.373320472240448,79.30653011630487,5500,4.373320472240448,79.30653011630487
12,1779378602.89233,1049.221915521,6000,,,,,,,0.0001742495190511606,1.3039305210113525,1,1,85412.01366844444,3.6472105979919434,51923.941800121625,23942.347458626264,0.019768641004774126,3.8496716022491455,4.355372667312622,77.8958491651489,6000,4.355372667312622,77.8958491651489
13,1779378687.970892,1134.300588189,6500,,,,,,,0.0001558240681302303,1.3527324199676514,1,1,85128.69288901433,3.6472105979919434,51904.03126208973,23951.531813059944,0.02141602775517197,3.9049630165100098,4.299760901927948,73.68217432747451,6500,4.299760901927948,73.68217432747451
14,1779378773.0886045,1219.418074505,7000,,,,,,,0.00013756954745850397,1.3442668914794922,1,1,85326.5847351449,3.6472105979919434,51887.387302087816,23959.21476566575,0.023063414505569816,3.6225473880767822,4.280508410930634,72.27717717465627,7000,4.280508410930634,72.27717717465627
15,1779378859.844271,1306.173807434,7500,,,,,,,0.00011982600421721645,1.4335274696350098,1,1,85346.73604571234,3.6472105979919434,51937.696967562646,23936.006572960305,0.024710801255967658,3.2531368732452393,4.245728313922882,69.80658274037296,7500,4.245728313922882,69.80658274037296
16,1779378945.0145607,1391.344113224,8000,,,,,,,0.00010292396704487966,1.4565813541412354,1,1,85181.81249301088,3.6472105979919434,51924.40524980143,23942.133761941437,0.026358188006365503,3.6014139652252197,4.235276246070862,69.0807593862718,8000,4.235276246070862,69.0807593862718
17,1779379028.525537,1474.8552187,8500,,,,,,,8.717828891413191e-05,1.446147084236145,1,1,85416.06320106538,3.6472105979919434,51911.27157202168,23948.191179929217,0.028005574756763345,3.6455979347229004,4.235276246070862,69.0807593862718,8000,4.244997251033783,69.75556838793864
18,1779379112.1788876,1558.508580483,9000,,,,,,,7.288228201658188e-05,1.4521161317825317,1,1,85225.5648765672,3.6472105979919434,51847.98770751389,23977.421515624923,0.02965296150716119,3.368938446044922,4.235276246070862,69.0807593862718,8000,4.2956263422966,73.37815989992315
19,1779379195.910126,1642.239772182,9500,,,,,,,6.030225391164706e-05,1.465322494506836,1,1,84815.9222566953,3.6472105979919434,51794.53623424884,24002.165988657962,0.031300348257559035,3.3651227951049805,4.235276246070862,69.0807593862718,8000,4.3016725897789,73.8231663684154
20,1779379281.4439175,1727.773505389,10000,,,,,,,4.967254672059517e-05,1.4645397663116455,1,1,85197.94734345104,3.6472105979919434,51800.29068903585,23999.499606343605,0.03294773500795688,3.624049425125122,4.235276246070862,69.0807593862718,8000,4.270114362239838,71.5298154613891
21,1779379365.0915189,1811.421107079,10500,,,,,,,4.11911717762171e-05,1.4699392318725586,1,1,85053.92352875197,3.6472105979919434,51752.010645973554,24021.88901421404,0.03459512175835472,3.2240021228790283,4.235276246070862,69.0807593862718,8000,4.264606344699859,71.13691103875786
22,1779379448.7024503,1895.032067205,11000,,,,,,,3.501612104634899e-05,1.5082488059997559,1,1,84775.78062370057,3.6472105979919434,51706.66754358215,24042.95451746443,0.03624250850875257,3.2371110916137695,4.235276246070862,69.0807593862718,8000,4.254800164699555,70.44273883592403
23,1779379532.252922,1978.582562933,11500,,,,,,,3.126242404244361e-05,1.4943537712097168,1,1,84929.11570221787,3.6472105979919434,51663.76196236148,24062.92164526642,0.03788989525915041,3.178270101547241,4.235276246070862,69.0807593862718,8000,4.2643785834312435,71.12071065063476
24,1779379615.8450487,2062.174626686,12000,,,,,,,3.0000005037416198e-05,1.529333233833313,1,1,84864.68652457229,3.6472105979919434,51625.11657189544,24080.93460222391,0.03953728200954825,3.238647699356079,4.235276246070862,69.0807593862718,8000,4.251022779941559,70.17715143662817
25,1779379671.2754762,2117.605209115,,4.312189733982086,4.796801197528839,4.250993871688843,74.6036724076085,121.12235070035543,70.17512276712233,,,,,,,,,,,,,,,
