_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779403967.4151587,23.964855299,1,,,,,,,6e-07,2.1054506301879883,1,1,79542.21029628582,3.3934741020202637,224685.3399014473,5532.986960988602,3.2947735007956877e-06,10.901304244995117,10.914163589477539,54949.15540552603,1,10.914163589477539,54949.15540552603
1,1779404055.3728433,111.922450975,500,,,,,,,0.0003,0.7793190479278564,1,1,79259.7479565851,3.630608081817627,53778.191049258705,23116.825459251595,0.001647386750397844,5.998762130737305,5.845781993865967,345.77282831686244,500,5.845781993865967,345.77282831686244
2,1779404143.404147,199.953714463,1000,,,,,,,0.000298747619491258,0.7656307220458984,1,1,79315.06365227289,3.630608081817627,53602.04086594844,23192.793332422363,0.003294773500795688,5.574580669403076,5.169334495067597,175.797804239457,1000,5.169334495067597,175.797804239457
3,1779404231.4860053,288.035466399,1500,,,,,,,0.00029500377892902453,0.850318431854248,1,1,79545.11419853948,3.630608081817627,53565.329189322474,23208.688807009356,0.004942160251193531,4.7634501457214355,4.7304821610450745,113.35020222695606,1500,4.7304821610450745,113.35020222695606
4,1779404319.4317546,375.981246039,2000,,,,,,,0.0002888382139419393,0.8931850790977478,1,1,79248.19807968363,3.630608081817627,53514.26741804719,23230.833868815116,0.006589547001591376,4.503320693969727,4.572648978233337,96.8001920466285,2000,4.572648978233337,96.8001920466285
5,1779404408.7617555,465.311254381,2500,,,,,,,0.0002803657773400148,0.919426441192627,1,1,79239.9448817875,3.630608081817627,53653.261777188585,23170.651975693214,0.00823693375198922,4.442164897918701,4.43261194229126,84.15092747733269,2500,4.43261194229126,84.15092747733269
6,1779404496.5314865,553.080938071,3000,,,,,,,0.0002697442945866792,0.9323842525482178,1,1,79024.91193301081,3.630608081817627,53595.24943721255,23195.732253404305,0.009884320502387063,4.214877605438232,4.3458611369133,77.1584528707654,3000,4.3458611369133,77.1584528707654
7,1779404584.3594947,640.908952655,3500,,,,,,,0.0002571716238090099,0.9847697615623474,1,1,78974.41437497536,3.630608081817627,53556.76808690705,23212.39873889849,0.011531707252784908,4.007081508636475,4.297916328907013,73.5463874494927,3500,4.297916328907013,73.5463874494927
8,1779404672.2734509,728.823136798,4000,,,,,,,0.00024288197007518844,0.9863158464431763,1,1,78794.95107315468,3.630608081817627,53527.737383737025,23224.987955080414,0.013179094003182752,3.8503754138946533,4.132272553443909,62.319386268271906,4000,4.132272553443909,62.319386268271906
9,1779404758.7350714,815.284713258,4500,,,,,,,0.00022714152259721256,1.0448081493377686,1,1,79014.92819892836,3.630608081817627,53521.5472384652,23227.674089110467,0.014826480753580595,3.824561357498169,4.132272553443909,62.319386268271906,4000,4.166300529241562,64.47648148966644
10,1779404846.8397028,903.389234693,5000,,,,,,,0.00021024349612952672,1.0595765113830566,1,1,79261.6202147836,3.630608081817627,53517.48573293872,23229.436864872223,0.01647386750397844,3.4463024139404297,4.132272553443909,62.319386268271906,4000,4.1689338147640225,64.6464902174337
