_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779401774.976526,24.263534317,1,,,,,,,6e-07,2.8492650985717773,1,1,82969.73630421367,3.3932299613952637,263011.0656890869,4726.725290979204,3.2947735007956877e-06,10.918148040771484,10.964862942695618,57806.872136930935,1,10.964862942695618,57806.872136930935
1,1779401862.7155952,112.002852394,500,,,,,,,0.0003,0.9484409689903259,1,1,82724.13677486031,3.625603199005127,53665.760024498464,23165.25575026771,0.001647386750397844,6.049704074859619,5.874348855018615,355.79291245876504,500,5.874348855018615,355.79291245876504
2,1779401950.511032,199.797963728,1000,,,,,,,0.000298747619491258,0.8731504082679749,1,1,82985.82898075947,3.625603199005127,53475.31684067869,23247.754841806036,0.003294773500795688,5.6006669998168945,5.21076192855835,183.23361594528689,1000,5.21076192855835,183.23361594528689
3,1779402038.4835126,287.770636619,1500,,,,,,,0.00029500377892902453,0.9779232740402222,1,1,82039.75480810489,3.625603199005127,53442.595554771746,23261.988739411063,0.004942160251193531,4.795840740203857,4.801477479934692,121.69007941321425,1500,4.801477479934692,121.69007941321425
4,1779402126.6318612,375.91875896,2000,,,,,,,0.0002888382139419393,0.9826222062110901,1,1,82889.69919027708,3.625603199005127,53454.6985475769,23256.721855675925,0.006589547001591376,4.4891252517700195,4.650782322883606,104.66683681748732,2000,4.650782322883606,104.66683681748732
5,1779402216.1448526,465.431851397,2500,,,,,,,0.0002803657773400148,1.0813740491867065,1,1,82333.81485914343,3.625603199005127,53635.95827287846,23178.127063101743,0.00823693375198922,4.462100505828857,4.448837649822235,85.52747332969432,2500,4.448837649822235,85.52747332969432
6,1779402304.311368,553.598380717,3000,,,,,,,0.0002697442945866792,1.1144165992736816,1,1,81869.09165614059,3.625603199005127,53611.65716413769,23188.63325179208,0.009884320502387063,4.194088935852051,4.337285339832306,76.49958682460169,3000,4.337285339832306,76.49958682460169
7,1779402392.4303043,641.717252085,3500,,,,,,,0.0002571716238090099,1.1216517686843872,1,1,82412.6702261536,3.625603199005127,53598.33512237249,23194.39686254515,0.011531707252784908,3.9697694778442383,4.278807842731476,72.15436935675902,3500,4.278807842731476,72.15436935675902
8,1779402480.5585344,729.845532757,4000,,,,,,,0.00024288197007518844,1.1561578512191772,1,1,81935.04776359379,3.625603199005127,53585.44649762899,23199.975688455026,0.013179094003182752,3.795513868331909,4.120255249738693,61.57495725046837,4000,4.120255249738693,61.57495725046837
9,1779402566.7880807,816.075132107,4500,,,,,,,0.00022714152259721256,1.2458809614181519,1,1,81919.2350071438,3.625603199005127,53561.68674240017,23210.267107138745,0.014826480753580595,3.815703868865967,4.120255249738693,61.57495725046837,4000,4.134573042392731,62.46291635907353
10,1779402654.567758,903.854803197,5000,,,,,,,0.00021024349612952672,1.2497538328170776,1,1,82351.11189074593,3.625603199005127,53533.971915461305,23222.28318801343,0.01647386750397844,3.4115161895751953,4.120255249738693,61.57495725046837,4000,4.145987117290497,63.17995715870266
11,1779402742.4872522,991.774173135,5500,,,,,,,0.0001925026689329299,1.268273949623108,1,1,82412.71576907004,3.625603199005127,53426.791347792016,23268.869880417726,0.018121254254376284,3.4082181453704834,4.087511646747589,59.591422548786184,5500,4.087511646747589,59.591422548786184
12,1779402828.7279308,1078.014990432,6000,,,,,,,0.0001742495190511606,1.3104480504989624,1,1,82312.14825710183,3.625603199005127,53420.81328414107,23271.473786586113,0.019768641004774126,3.197211265563965,4.087511646747589,59.591422548786184,5500,4.091367256641388,59.821627331890454
13,1779402915.127132,1164.414319007,6500,,,,,,,0.0001558240681302303,1.3681654930114746,1,1,82496.64571270483,3.625603199005127,53345.65444048261,23304.261031927326,0.02141602775517197,3.2305703163146973,4.087511646747589,59.591422548786184,5500,4.089937281608582,59.73614503172788
14,1779403003.3193896,1252.606326735,7000,,,,,,,0.00013756954745850397,1.4008705615997314,1,1,82077.92385691317,3.625603199005127,53287.98177788973,23329.48283126424,0.023063414505569816,3.0880188941955566,4.079140776395798,59.094672492375096,7000,4.079140776395798,59.094672492375096
15,1779403091.3932056,1340.680326308,7500,,,,,,,0.00011982600421721645,1.5532704591751099,1,1,81920.88000945322,3.625603199005127,53365.66571921403,23295.522303442365,0.024710801255967658,3.3793113231658936,4.079140776395798,59.094672492375096,7000,4.133988952636718,62.42644306237397
16,1779403177.8520315,1427.139030629,8000,,,,,,,0.00010292396704487966,1.497118353843689,1,1,81761.78117235903,3.625603199005127,53311.19812571305,23319.323138610704,0.026358188006365503,3.132326602935791,4.079140776395798,59.094672492375096,7000,4.12332758307457,61.76442695228733
17,1779403264.3238983,1513.611019311,8500,,,,,,,8.717828891413191e-05,1.5507665872573853,1,1,82459.5199966185,3.625603199005127,53262.531233961025,23340.630405626092,0.028005574756763345,3.0402204990386963,4.079140776395798,59.094672492375096,7000,4.153249514102936,63.64046525040702
18,1779403350.8211572,1600.108334829,9000,,,,,,,7.288228201658188e-05,1.4742999076843262,1,1,81907.76682706141,3.625603199005127,53220.69158632387,23358.97973034722,0.02965296150716119,2.934077262878418,4.079140776395798,59.094672492375096,7000,4.148250770568848,63.32313666909591
19,1779403437.286183,1686.573277526,9500,,,,,,,6.030225391164706e-05,1.4495757818222046,1,1,82790.05352761794,3.625603199005127,53182.00848081774,23375.97039886908,0.031300348257559035,2.6297857761383057,4.079140776395798,59.094672492375096,7000,4.127195942401886,62.003816673592205
20,1779403525.3224359,1774.609470618,10000,,,,,,,4.967254672059517e-05,1.5274949073791504,1,1,82508.6648781495,3.625603199005127,53195.13006313944,23370.20427479768,0.03294773500795688,2.80399227142334,4.079140776395798,59.094672492375096,7000,4.150086164474487,63.439466290907454
21,1779403611.7362843,1861.023217136,10500,,,,,,,4.11911717762171e-05,1.5082436800003052,1,1,82133.57536895869,3.625603199005127,53159.831281259925,23385.722377908492,0.03459512175835472,2.866053819656372,4.079140776395798,59.094672492375096,7000,4.161927443742752,64.19513594587653
22,1779403698.1354156,1947.422550081,11000,,,,,,,3.501612104634899e-05,1.5662829875946045,1,1,82241.06844855806,3.625603199005127,53126.85823406353,23400.23666603543,0.03624250850875257,2.839526414871216,4.079140776395798,59.094672492375096,7000,4.153124552965164,63.63251316232235
23,1779403784.5354059,2033.822580246,11500,,,,,,,3.126242404244361e-05,1.5612536668777466,1,1,82245.27645408153,3.625603199005127,53097.787534209856,23413.048146291276,0.03788989525915041,2.6800968647003174,4.079140776395798,59.094672492375096,7000,4.151402926445007,63.523055989339646
24,1779403870.9610252,2120.248019617,12000,,,,,,,3.0000005037416198e-05,1.5902076959609985,1,1,82341.6289440081,3.625603199005127,53071.41144613292,23424.684253250347,0.03953728200954825,2.7438971996307373,4.079140776395798,59.094672492375096,7000,4.15881889462471,63.99589205280585
25,1779403927.1396844,2176.42653429,,4.27143805027008,4.979033255577088,4.158830451965332,71.62456131506296,145.3338130643675,63.996631679402725,,,,,,,,,,,,,,,
