suite,project,run_name,run_id,history_csv,history_rows,history_columns,wandb_url
core_ml,saidl-core-ml,coreml_p1_baseline_full_abs_ctx1024,gyealu4a,core_ml/report/data/histories/coreml_p1_baseline_full_abs_ctx1024__gyealu4a.csv,26,22,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/gyealu4a
core_ml,saidl-core-ml,coreml_p2_sliding_window_ctx512,s7jtrjqq,core_ml/report/data/histories/coreml_p2_sliding_window_ctx512__s7jtrjqq.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/s7jtrjqq
core_ml,saidl-core-ml,coreml_p2_sliding_window_ctx1024,jyniv41v,core_ml/report/data/histories/coreml_p2_sliding_window_ctx1024__jyniv41v.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/jyniv41v
core_ml,saidl-core-ml,coreml_p2_sliding_window_ctx2048,30zfwy42,core_ml/report/data/histories/coreml_p2_sliding_window_ctx2048__30zfwy42.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/30zfwy42
core_ml,saidl-core-ml,coreml_p2_sliding_window_ctx4096,pnuksk52,core_ml/report/data/histories/coreml_p2_sliding_window_ctx4096__pnuksk52.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/pnuksk52
core_ml,saidl-core-ml,coreml_p2_sparse_block_ctx512,c27xrb4g,core_ml/report/data/histories/coreml_p2_sparse_block_ctx512__c27xrb4g.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/c27xrb4g
core_ml,saidl-core-ml,coreml_p2_sparse_block_ctx1024,0gmcbzac,core_ml/report/data/histories/coreml_p2_sparse_block_ctx1024__0gmcbzac.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0gmcbzac
core_ml,saidl-core-ml,coreml_p2_sparse_block_ctx2048,0zx17pfo,core_ml/report/data/histories/coreml_p2_sparse_block_ctx2048__0zx17pfo.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0zx17pfo
core_ml,saidl-core-ml,coreml_p2_sparse_block_ctx4096,rf7qslez,core_ml/report/data/histories/coreml_p2_sparse_block_ctx4096__rf7qslez.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/rf7qslez
core_ml,saidl-core-ml,coreml_p2_gqa_ctx512,vqwj1dkl,core_ml/report/data/histories/coreml_p2_gqa_ctx512__vqwj1dkl.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/vqwj1dkl
core_ml,saidl-core-ml,coreml_p2_gqa_ctx1024,mdbgwpzd,core_ml/report/data/histories/coreml_p2_gqa_ctx1024__mdbgwpzd.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/mdbgwpzd
core_ml,saidl-core-ml,coreml_p2_gqa_ctx2048,2k9836jo,core_ml/report/data/histories/coreml_p2_gqa_ctx2048__2k9836jo.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/2k9836jo
core_ml,saidl-core-ml,coreml_p2_gqa_ctx4096,0i87yv2e,core_ml/report/data/histories/coreml_p2_gqa_ctx4096__0i87yv2e.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0i87yv2e
core_ml,saidl-core-ml,coreml_p3_rope_train512,uz6g881m,core_ml/report/data/histories/coreml_p3_rope_train512__uz6g881m.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/uz6g881m
core_ml,saidl-core-ml,coreml_p3_alibi_train512,38i0pnm1,core_ml/report/data/histories/coreml_p3_alibi_train512__38i0pnm1.csv,26,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/38i0pnm1
core_ml,saidl-core-ml,coreml_p3_relative_train512,3b7o8z8s,core_ml/report/data/histories/coreml_p3_relative_train512__3b7o8z8s.csv,15,25,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/3b7o8z8s
