setting,lag,weight
full,lag_0,0.45070728770608653
full,lag_1,0.14315021463249228
full,lag_2,0.07680501284996243
full,lag_3,0.05402015203712153
full,lag_4,0.058895791481958296
full,lag_5,0.03959839444324777
full,lag_6,0.08092729535638295
full,lag_7,0.09589585149274828
hidden,lag_0,0.7321598303836869
hidden,lag_1,0.015490339222102462
hidden,lag_2,0.10295557951243077
hidden,lag_3,0.013595051580846545
hidden,lag_4,0.020671048570898288
hidden,lag_5,0.02545207710131078
hidden,lag_6,0.03548038029218236
hidden,lag_7,0.05419569333654161
