name,run_id,run_url,created_at,state,tags,hardware,resumed,runtime_sec,first_eval_step,final_step,eval_points,final_return,best_return,best_step,gap_abs,gap_frac,stability,undertraining_evidence,actor_loss,critic1_loss,critic2_loss,reward_model_loss,order,part,task,agent,env,seed,context_length,stressor,stressor_value,comparison
rl_p1_mlp_seed42,orduqlzt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/orduqlzt,2026-05-23T09:21:36Z,finished,final,Tesla P100-PCIE-16GB,no,6545.0,10000,1000000,100,1364.187159304288,3440.691669089276,900000,2076.504509784988,0.6035136854720325,late deterioration,weak/no,-267.57373046875,3.599903345108032,2.9041478633880615,,0,Part 1,MLP TD3 baseline,MLP,Full,42,1,None,-,baseline_seed
rl_p1_mlp_seed43,12tb4cex,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/12tb4cex,2026-05-23T11:10:50Z,finished,final,Tesla P100-PCIE-16GB,no,6636.0,10000,1000000,100,1004.2952373299988,3543.064745471174,970000,2538.769508141175,0.7165461797971059,late deterioration,weak/no,-251.4056854248047,13.094696044921877,9.426986694335938,,1,Part 1,MLP TD3 baseline,MLP,Full,43,1,None,-,baseline_seed
rl_p1_mlp_seed44,xe1bvoqz,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/xe1bvoqz,2026-05-23T13:01:35Z,finished,final,Tesla P100-PCIE-16GB,no,6757.0,10000,1000000,100,3540.156859519528,3547.7903723214827,820000,7.633512801954566,0.002151624532697406,stable,weak/no,-272.08197021484375,8.303892135620117,7.722906112670898,,2,Part 1,MLP TD3 baseline,MLP,Full,44,1,None,-,baseline_seed
rl_p1_tr_L4_seed42,k4mmxrji,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/k4mmxrji,2026-05-23T20:03:28Z,finished,final,Tesla P100-PCIE-16GB,no,18138.0,10000,1000000,100,3509.886390875466,3596.074975237735,680000,86.18858436226901,0.02396740472758667,stable,weak/no,-284.6142578125,6.247485637664795,6.067407608032227,,3,Part 1,Transformer TD3 sweep,Transformer,Full,42,4,None,-,context_sweep
rl_p1_tr_L8_seed42,jcs1nkci,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/jcs1nkci,2026-05-24T01:05:56Z,finished,final,Tesla P100-PCIE-16GB,no,20459.0,10000,1000000,100,1778.7899750394238,3377.4377487696534,780000,1598.6477737302296,0.47333152900082065,late deterioration,weak/no,-271.034423828125,3.0128746032714844,13.260913848876951,,4,Part 1,Transformer TD3 sweep,Transformer,Full,42,8,None,-,context_sweep
rl_p1_tr_L16_seed42,d6s0vtx6,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/d6s0vtx6,2026-05-24T10:58:11Z,finished,final,Tesla P100-PCIE-16GB,yes,21969.0,200000,1000000,81,3459.601632491626,3459.601632491626,1000000,0.0,0.0,stable/final-best,possible,-278.04498291015625,3.697421550750733,3.1122727394104004,,5,Part 1,Transformer TD3 sweep,Transformer,Full,42,16,None,-,context_sweep
rl_p1_tr_L32_seed42,tc91exur,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/tc91exur,2026-05-25T09:27:28Z,finished,final,Tesla T4 x2,yes,41984.0,60000,1000000,95,3035.6738048707057,3353.244678865228,820000,317.5708739945221,0.09470554773294722,mild deterioration,weak/no,-270.5689697265625,3.105301856994629,2.7452001571655273,,6,Part 1,Transformer TD3 sweep,Transformer,Full,42,32,None,-,context_sweep
rl_p2_hidden_vel_mlp_seed42,96m7x5eb,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/96m7x5eb,2026-05-26T07:57:53Z,finished,final,Tesla T4 x2,yes,6227.0,180000,1000000,83,318.0938958221401,999.0720552323908,250000,680.9781594102507,0.6816106564524524,late deterioration,weak/no,-88.1828384399414,16.220016479492188,18.452735900878903,,7,Part 2a,Hidden velocities,MLP,Hidden velocity,42,1,Hidden velocities,velocity components removed,hidden_velocity
rl_p2_hidden_vel_tr_seed42,4hl8amlc,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/4hl8amlc,2026-05-26T09:41:52Z,finished,final,Tesla T4 x2,no,21815.0,10000,1000000,100,253.0360907556773,986.3062590029,100000,733.2701682472227,0.7434507908208121,late deterioration,weak/no,-90.92637634277344,26.858034133911133,31.165103912353516,,8,Part 2a,Hidden velocities,Transformer,Hidden velocity,42,8,Hidden velocities,velocity components removed,hidden_velocity
rl_p2_noise01_mlp_seed42,lgmxbqai,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/lgmxbqai,2026-05-26T15:45:40Z,finished,final,Tesla T4 x2,no,7191.0,10000,1000000,100,357.6118157803313,370.4859512704312,880000,12.874135490099889,0.034749321657010925,stable,weak/no,-114.50799560546876,15.880515098571776,13.100143432617188,,9,Part 2b,Observation noise,MLP,Noisy,42,1,Gaussian noise,sigma=0.1,noise_01
