_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779541303.239819,7.993552252,10000,NaN,NaN,NaN,24.717002710836173
1,1779541308.781423,13.534909753,20000,NaN,NaN,NaN,24.348830018285923
2,1779541343.7989242,48.552635797,30000,-17.871381759643555,2.2792491912841797,2.2256157398223877,171.58300539180988
3,1779541408.1731148,112.926761789,40000,-62.90911865234375,19.78960418701172,21.703645706176758,237.49079426047132
4,1779541472.9458346,177.699514139,50000,-98.43864440917969,13.101679801940918,14.309584617614746,287.40909662628155
5,1779541536.138029,240.89168957,60000,-120.57669067382812,39.73838806152344,36.73844909667969,272.31849358928514
6,1779541599.0056412,303.759293608,70000,-131.3077392578125,28.182872772216797,31.351741790771484,329.49394794530184
7,1779541662.8740048,367.627542686,80000,-134.71728515625,9.338689804077148,8.820062637329102,303.20007985563007
8,1779541727.8225873,432.576310903,90000,-138.81134033203125,12.632380485534668,12.85412883758545,327.4304565292598
9,1779541793.4242163,498.177917007,100000,-136.4361114501953,26.72119903564453,27.233684539794922,333.26319829095604
10,1779541858.5901353,563.343838845,110000,-131.07342529296875,14.329102516174316,15.906105041503906,355.9093279175269
11,1779541924.5346334,629.288224164,120000,-139.50723266601562,4.939518928527832,5.656156539916992,401.13614205190686
12,1779541989.7997067,694.553244995,130000,-144.228515625,45.55409622192383,20.57349967956543,403.142296534641
13,1779542055.7931972,760.546855331,140000,-137.60003662109375,6.8753485679626465,6.740616798400879,485.1639561967096
14,1779542121.556462,826.310104098,150000,-153.416748046875,7.218776702880859,11.636869430541992,444.14824529900613
15,1779542187.37185,892.12544686,160000,-154.083251953125,6.980428695678711,11.921370506286621,424.37957023762976
16,1779542252.8637457,957.617411962,170000,-150.39202880859375,6.869762420654297,4.362783908843994,470.9862206918366
17,1779542318.1623518,1022.916015764,180000,-151.96438598632812,3.068394184112549,3.089204788208008,441.20306657450385
18,1779542383.971109,1088.724684877,190000,-154.66856384277344,10.468194961547852,10.54227352142334,565.9882671373632
19,1779542448.3277578,1153.081345898,200000,-151.9996795654297,9.899290084838867,13.150430679321289,517.2387466246394
20,1779542514.3007944,1219.054376224,210000,-162.93203735351562,8.172077178955078,10.986228942871094,693.6924031452758
21,1779542579.8299453,1284.583530131,220000,-165.4791259765625,41.4834098815918,40.228824615478516,678.6063189807564
22,1779542645.8762655,1350.629769808,230000,-166.53952026367188,8.375774383544922,8.570390701293945,690.3685672842128
23,1779542713.742833,1418.496482099,240000,-167.478515625,31.06401252746582,26.906557083129883,609.5515584820763
24,1779542779.8193018,1484.572818007,250000,-178.34982299804688,56.45162582397461,62.93724060058594,757.1591235684084
25,1779542845.8876045,1550.641135094,260000,-180.30165100097656,9.979074478149414,10.166025161743164,595.3684059478022
26,1779542911.710761,1616.464464166,270000,-184.2711181640625,32.509376525878906,31.914104461669922,852.7137671513126
27,1779542977.3648994,1682.118488615,280000,-181.07467651367188,6.1911773681640625,7.481734752655029,753.8877541735369
28,1779543047.1841912,1751.937701487,290000,-190.2364501953125,16.595378875732422,12.78386116027832,2021.4228018681283
29,1779543117.0399241,1821.793637297,300000,-194.87071228027344,15.757081985473633,14.90832233428955,2062.971215996389
30,1779543186.385503,1891.139117987,310000,-195.04510498046875,10.159965515136719,6.4287896156311035,1867.1758871452043
31,1779543257.2344916,1961.988042744,320000,-198.03042602539062,37.09042739868164,19.273645401000977,2434.3503500913225
32,1779543326.810523,2031.564191888,330000,-201.44850158691406,7.159097194671631,6.960892677307129,2302.1100393013417
33,1779543393.9155188,2098.669158387,340000,-206.99850463867188,255.93238830566406,251.4957733154297,2050.4219508473484
34,1779543462.0703793,2166.823901361,350000,-206.91465759277344,13.006123542785645,12.753632545471191,2576.7641055523677
35,1779543532.0583282,2236.811996901,360000,-205.7697296142578,7.30927848815918,7.4341583251953125,2841.4856435810316
36,1779543601.935161,2306.688729309,370000,-207.4503173828125,47.766395568847656,42.75625991821289,2249.551829165695
37,1779543671.85025,2376.603916222,380000,-218.3472442626953,5.459745407104492,5.207647800445557,2928.8048932415104
38,1779543741.7556255,2446.509191226,390000,-206.82940673828125,130.6558074951172,146.0539093017578,3308.5324104018246
39,1779543810.8606727,2515.614337045,400000,-214.28163146972656,7.128227710723877,7.612605094909668,2852.4459550396036
40,1779543883.2368538,2587.99051549,410000,-219.16610717773438,8.105230331420898,12.74038314819336,3369.9194896063564
41,1779543955.0863402,2659.83996544,420000,-224.36749267578125,10.33418083190918,9.243865966796875,3313.0323948650957
42,1779544025.8071842,2730.560694349,430000,-223.72206115722656,4.8492937088012695,4.184604644775391,3129.8549195570736
43,1779544098.1911035,2802.944648181,440000,-215.769775390625,13.918654441833496,8.510637283325195,3263.2390597856415
44,1779544169.6956868,2874.449368791,450000,-224.8407440185547,23.071340560913086,17.086769104003906,3199.7318789065744
45,1779544241.011246,2945.764812728,460000,-226.02224731445312,20.630889892578125,22.588361740112305,3436.5713100346766
46,1779544312.4334667,3017.187074673,470000,-226.84881591796875,8.831518173217773,7.374599456787109,3361.3083454864054
47,1779544382.8453944,3087.598925316,480000,-216.26657104492188,9.681886672973633,10.322327613830566,2936.0118759137
48,1779544454.2557125,3159.009349515,490000,-234.58387756347656,3.9970715045928955,4.524564743041992,3350.1805394512567
49,1779544525.8401153,3230.593809226,500000,-236.24099731445312,9.370157241821289,7.141852378845215,3314.906519624278
50,1779544596.763826,3301.51737668,510000,-238.41522216796875,5.831402778625488,5.829633712768555,2952.42948956119
51,1779544669.3438594,3374.097523438,520000,-238.77609252929688,15.204280853271484,9.9273042678833,3363.5226111000475
52,1779544742.509239,3447.262752656,530000,-234.6441650390625,5.463179111480713,5.631145477294922,3414.2318304908063
53,1779544814.1441116,3518.897783532,540000,-239.5115966796875,6.3646039962768555,5.605435371398926,2967.463305764034
54,1779544886.4294322,3591.183039483,550000,-234.79730224609375,5.644947052001953,3.7682759761810303,3450.8717753905644
55,1779544958.2177095,3662.971313367,560000,-237.44796752929688,318.6285705566406,319.2803039550781,3508.6049256566753
56,1779545029.9638603,3734.717582188,570000,-243.28465270996094,4.676807403564453,5.571446418762207,3227.0978407752054
57,1779545101.5223951,3806.276082242,580000,-239.78753662109375,5.134591579437256,4.7026047706604,3399.218911223875
58,1779545171.294482,3876.048117014,590000,-235.6397705078125,6.188637733459473,5.123621463775635,3411.5321345955745
59,1779545236.859628,3941.613227856,600000,-250.2605743408203,328.2757568359375,325.9521484375,1314.6152251424683
60,1779545309.2454336,4013.999075699,610000,-245.0904083251953,4.402769088745117,5.102163314819336,3474.3205439739227
61,1779545379.4521675,4084.205690969,620000,-252.14602661132812,327.8026428222656,328.5049743652344,2921.977049184608
62,1779545449.0811865,4153.834831489,630000,-250.53921508789062,8.412752151489258,7.283943176269531,3219.227197789554
63,1779545518.7932622,4223.546877628,640000,-248.20654296875,5.855177402496338,6.34984016418457,3431.3499878410707
64,1779545583.6107574,4288.364323468,650000,-244.4833984375,3.0812106132507324,3.811941146850586,1092.3473079402609
65,1779545652.7141216,4357.46776385,660000,-258.3702087402344,3.3949856758117676,2.360902786254883,3451.2568815674335
66,1779545720.753511,4425.507201744,670000,-255.40750122070312,12.51176643371582,5.710926055908203,2773.200462536382
