_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779620557.8895733,265.798656834,200000,-203.03489685058594,42.49242401123047,40.980384826660156,2478.728518215424
1,1779620828.727779,536.63678861,210000,-207.4254913330078,42.81727981567383,54.628562927246094,2729.0571629728415
2,1779621089.3700109,797.279082094,220000,-206.20193481445312,8.657437324523926,9.352684020996094,416.4585592380569
3,1779621378.8151581,1086.724334074,230000,-216.46893310546875,22.162817001342773,22.933734893798828,2630.113883124479
4,1779621646.016108,1353.925095051,240000,-209.51318359375,12.955888748168945,14.005014419555664,656.6832766460512
5,1779621924.8114026,1632.720374958,250000,-217.67022705078125,6.531909942626953,9.070001602172852,2083.7777248684506
6,1779622193.8690283,1901.77805999,260000,-224.35877990722656,13.852293014526367,18.48549461364746,1188.6157820027126
7,1779622471.9179914,2179.827032641,270000,-224.57571411132812,14.580622673034668,15.71384048461914,2306.3247915278744
8,1779622751.8931992,2459.802345485,280000,-223.35855102539062,8.256649017333984,6.861288070678711,2630.02364680783
9,1779623024.932079,2732.841035588,290000,-229.38035583496094,14.28232192993164,14.942030906677246,1892.6889091170783
10,1779623300.9895525,3008.898562429,300000,-228.43653869628906,335.5049133300781,330.7266845703125,2158.1734556915103
11,1779623588.7768466,3296.68578102,310000,-228.11830139160156,11.212403297424316,4.933322429656982,2949.4973401624948
12,1779623866.61456,3574.52354835,320000,-236.71090698242188,321.6279602050781,316.29656982421875,2251.8412271555076
13,1779624155.5425305,3863.451557482,330000,-233.88833618164062,15.704333305358887,21.993331909179688,2649.975990973896
14,1779624430.0199225,4137.928988147,340000,-228.6732635498047,18.004810333251953,22.96456527709961,2025.1048881557053
15,1779624708.16669,4416.075672332,350000,-242.46026611328125,6.6203718185424805,5.725605487823486,3250.2184854530587
16,1779624969.2750401,4677.184009103,360000,-243.5208740234375,20.820180892944336,33.175498962402344,1136.5181379764742
17,1779625232.6406152,4940.549606869,370000,-246.6357421875,8.350061416625977,6.324245452880859,1579.6254342212164
18,1779625508.8539822,5216.762921127,380000,-250.03126525878906,8.462008476257324,6.506901264190674,3031.9388202228847
19,1779625777.4227955,5485.331757853,390000,-239.41201782226562,6.524582386016846,11.750497817993164,2164.93851109138
20,1779626043.069165,5750.978191552,400000,-239.54515075683594,6.252499103546143,6.141839027404785,2176.2100657041883
21,1779626303.4188056,6011.327841203,410000,-252.19384765625,347.9628601074219,355.6379699707031,1378.0893824327181
22,1779626574.8598602,6282.768753932,420000,-256.0216064453125,14.423259735107422,13.977168083190918,3335.7798626124254
23,1779626838.1691964,6546.078161457,430000,-250.88291931152344,10.01132583618164,13.959903717041016,2069.2963269318907
24,1779627109.50552,6817.414530913,440000,-249.650634765625,9.968914031982422,11.067834854125977,3312.632185046414
25,1779627380.5851343,7088.494172379,450000,-247.49041748046875,5.221779823303223,3.7296383380889893,3295.1145115525405
26,1779627652.417705,7360.326639049,460000,-250.6309814453125,7.34232234954834,6.643171787261963,3366.7734339113413
27,1779627921.4617796,7629.370703286,470000,-258.232177734375,27.873136520385742,21.855663299560547,2751.5484595723815
28,1779628185.3949716,7893.303915043,480000,-254.5464324951172,13.553186416625977,10.93897533416748,1986.940959235597
29,1779628457.9025564,8165.811603383,490000,-258.6798095703125,4.085684299468994,6.560080528259277,3342.8639229182095
30,1779628732.2102184,8440.11907332,500000,-253.14849853515625,6.031733512878418,3.5064306259155273,3101.8505207551834
31,1779629008.0115595,8715.920544261,510000,-258.30029296875,7.943994998931885,5.468712329864502,3340.1823882222284
32,1779629283.5035622,8991.412466388,520000,-259.70654296875,6.901377201080322,8.530376434326172,3001.64101021464
33,1779629559.2674415,9267.176321053,530000,-255.67596435546875,9.212319374084473,8.752649307250977,3171.907812059487
34,1779629833.9169316,9541.825906373,540000,-266.1725158691406,8.615846633911133,6.65157413482666,3317.7090476224926
35,1779630106.7932642,9814.702194282,550000,-256.34307861328125,6.862573623657227,7.067968845367432,3318.64055017246
36,1779630376.9733822,10084.882265457,560000,-254.79190063476562,17.86013412475586,19.16195297241211,2772.157375231477
37,1779630651.2549207,10359.163842737,570000,-258.97265625,8.99738883972168,8.246718406677246,3351.9627881701417
38,1779630924.8023944,10632.711348949,580000,-266.20562744140625,5.764214038848877,6.683347702026367,3378.3605191267766
39,1779631197.2576795,10905.166678875,590000,-264.94842529296875,312.9343566894531,307.2908935546875,2987.748651632225
40,1779631475.1754744,11183.084422963,600000,-267.7483825683594,3.734678268432617,3.5332984924316406,3174.810261988747
41,1779631750.8389738,11458.748077131,610000,-261.4191589355469,4.1474809646606445,4.499377250671387,3071.305948620083
42,1779632035.0498538,11742.958708096,620000,-266.2065734863281,9.920370101928711,16.287845611572266,3351.9586938699954
43,1779632314.1876311,12022.096588975,630000,-267.54656982421875,4.869268417358398,6.932001113891602,3254.5804682211274
44,1779632594.6563034,12302.565346206,640000,-263.56793212890625,10.6063814163208,5.193924903869629,3316.3975175386863
45,1779632874.479593,12582.3885785,650000,-259.10400390625,351.8872375488281,349.7618713378906,2638.2854617053117
46,1779633145.908841,12853.817964874,660000,-261.4285888671875,368.5797424316406,366.3841552734375,1787.0974196339237
47,1779633421.736405,13129.645447331,670000,-261.3555908203125,23.869626998901367,28.593847274780273,2878.6017689639134
48,1779633699.5628054,13407.471841975,680000,-263.3912353515625,6.437468528747559,6.076350212097168,3350.7085731929974
