_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779584764.33716,7.8316777349999995,10000,NaN,NaN,NaN,7.9711304594173145
1,1779584769.8936167,13.387955203,20000,NaN,NaN,NaN,7.90452926430361
2,1779584869.8033478,113.297646496,30000,-18.222858428955078,4.094838619232178,4.557282447814941,177.45021821021993
3,1779585064.9475696,308.44194052,40000,-65.5147476196289,8.138261795043945,8.21783447265625,259.0318230973978
4,1779585264.7601302,508.254475122,50000,-101.39604187011719,33.713722229003906,37.93552017211914,272.4812675123193
5,1779585458.5097744,702.004130949,60000,-123.09524536132812,28.024614334106445,33.23431396484375,350.90868085467014
6,1779585651.8550603,895.349334621,70000,-138.5391845703125,67.0503921508789,67.91898345947266,275.6574276341993
7,1779585845.8242476,1089.318436388,80000,-139.60348510742188,23.864116668701172,21.77717399597168,367.3750863563736
8,1779586040.8881145,1284.382425548,90000,-139.02444458007812,12.974066734313965,12.858235359191895,478.70630239943483
9,1779586236.6092064,1480.10354115,100000,-143.03602600097656,9.995073318481445,12.078788757324219,528.2261953046793
10,1779586431.102967,1674.597428593,110000,-141.82376098632812,21.026968002319336,19.46742820739746,471.93008168207507
11,1779586629.9262533,1873.42053699,120000,-149.501953125,10.530778884887695,14.954971313476562,547.2759265039085
12,1779586830.2885075,2073.782838796,130000,-150.87957763671875,18.320804595947266,16.903852462768555,734.5592949811536
13,1779587029.8451169,2273.339387561,140000,-162.54676818847656,12.830406188964844,12.101912498474121,850.4267917550269
14,1779587228.458236,2471.952457967,150000,-171.58108520507812,8.597236633300781,9.052035331726074,735.366300337099
15,1779587423.6817567,2667.176025125,160000,-177.11495971679688,8.692267417907715,11.628851890563965,626.1589175808169
16,1779587627.4487226,2870.943012149,170000,-173.6284637451172,15.458083152770996,27.22884750366211,642.1522029943687
17,1779587826.022129,3069.516615542,180000,-179.32003784179688,13.387657165527344,11.081022262573242,671.2488472757076
18,1779588033.8841934,3277.378475709,190000,-185.25592041015625,14.63410758972168,10.70042610168457,1116.7324811899405
19,1779588252.2997231,3495.794023432,200000,-193.87164306640625,19.606143951416016,21.90606689453125,2465.699414691383
20,1779588456.3718436,3699.866203067,210000,-196.5582733154297,28.456331253051758,23.608888626098633,943.5849975655044
21,1779588673.4081774,3916.902477333,220000,-201.3993377685547,49.377601623535156,60.58686447143555,2378.8168785126377
22,1779588877.809909,4121.30420466,230000,-203.61273193359375,10.258012771606445,9.593584060668945,1992.8115943728662
23,1779589089.024236,4332.518560033,240000,-197.84608459472656,17.2195987701416,21.883750915527344,2933.380465586525
24,1779589292.0454533,4535.539796067,250000,-205.6788330078125,10.942462921142578,11.138971328735352,1819.1707172741087
25,1779589499.616158,4743.110554449,260000,-218.41323852539062,7.813414573669434,8.235652923583984,2386.7662939147936
26,1779589699.8171756,4943.311520047,270000,-213.47972106933594,14.99043083190918,12.746413230895996,1216.4445505703675
27,1779589900.6873357,5144.181541738,280000,-214.36656188964844,18.678056716918945,12.985750198364258,1170.3206780215182
28,1779590101.448618,5344.94296283,290000,-224.93484497070312,7.5768232345581055,8.095088958740234,961.9054359742543
29,1779590311.0007424,5554.49508841,300000,-213.88812255859375,13.122950553894043,13.48635196685791,1587.5852115695445
30,1779590511.5134547,5755.007795165,310000,-222.9856414794922,13.215642929077148,10.070677757263184,1131.2632986984975
31,1779590711.2373245,5954.731646763,320000,-218.91806030273438,224.00128173828125,237.14889526367188,1241.33060448319
32,1779590921.8374484,6165.331710967,330000,-229.22291564941406,7.870845317840576,5.0576276779174805,2527.640235642375
33,1779591122.0625272,6365.556918199,340000,-227.63592529296875,20.762475967407227,18.823171615600586,1299.5563551669052
34,1779591336.3053746,6579.799655681,350000,-229.83078002929688,5.948400497436523,4.199167728424072,3144.907798908423
35,1779591558.2128887,6801.707288593,360000,-227.8081512451172,7.879854202270508,5.998020172119141,2658.940728430392
36,1779591773.9722352,7017.466522409,370000,-238.43325805664062,6.6493730545043945,5.156892776489258,2629.6301846766464
37,1779591991.5190864,7235.013403854,380000,-231.22988891601562,6.304929733276367,7.549133777618408,2565.987024811361
38,1779592209.4223456,7452.916559762,390000,-235.37506103515625,8.829902648925781,6.598371505737305,2189.7951971346433
39,1779592428.3465762,7671.840852752,400000,-239.25047302246094,6.985576629638672,6.527580738067627,3159.0379724458994
40,1779592645.3416572,7888.835954351,410000,-242.48953247070312,9.868717193603516,7.596488952636719,2712.5241261624615
41,1779592859.1261504,8102.620369446,420000,-240.87425231933594,9.506710052490234,8.09253215789795,2492.231461652754
42,1779593064.623777,8308.118074381,430000,-238.35711669921875,6.831035614013672,8.175646781921387,1251.7529073853598
43,1779593271.324255,8514.818507316,440000,-238.82122802734375,9.904874801635742,11.479276657104492,1525.8700220017038
44,1779593472.4490879,8715.943362345,450000,-239.40847778320312,12.312858581542969,10.886621475219727,1091.6410969720719
45,1779593670.6432116,8914.137463012,460000,-242.27066040039062,150.97964477539062,145.82688903808594,1055.1213983634257
46,1779593883.8913286,9127.385637542,470000,-246.1520233154297,13.349453926086426,11.571304321289062,3151.2594309784004
47,1779594101.026436,9344.520690545,480000,-239.4650115966797,48.28376770019531,47.124698638916016,2864.213351757158
48,1779594303.0316577,9546.525986978,490000,-242.96926879882812,7.688607692718506,6.628635406494141,1520.1032699390312
49,1779594509.4894772,9752.983789552,500000,-247.31973266601562,11.986072540283203,15.479105949401855,2169.8021825802925
50,1779594716.2610886,9959.755380387,510000,-241.92501831054688,79.47111511230469,70.07746887207031,1704.1632424779204
51,1779594921.3970728,10164.891380341,520000,-254.25277709960938,289.3463439941406,300.4607238769531,1297.618703560369
52,1779595134.59927,10378.093554051,530000,-242.94357299804688,5.083934783935547,5.417248725891113,1764.4515327835256
53,1779595344.87047,10588.364828522,540000,-248.41770935058594,7.56787109375,8.813854217529297,1584.7178345644193
