_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779954167.2788699,8.838704967,10000,NaN,NaN,NaN,8.002400180304639
1,1779954173.6382475,15.197970957,20000,NaN,NaN,NaN,7.9764218498573
2,1779954272.111214,113.670942781,30000,-15.428691864013672,11.63231086730957,10.820466995239258,172.71212404669618
3,1779954461.6121614,303.171953671,40000,-71.4949951171875,31.228796005249023,31.9649658203125,271.6132252865982
4,1779954652.1452715,493.705067996,50000,-114.83563232421875,55.33019256591797,52.89807891845703,225.45579752927068
5,1779954843.0343387,684.594094347,60000,-139.3843994140625,114.32335662841797,107.51885986328125,241.0863929567135
6,1779955035.1059134,876.665681925,70000,-146.94398498535156,100.3404541015625,91.86058807373047,255.1085451315268
7,1779955229.1431146,1070.702820986,80000,-157.46292114257812,57.96446990966797,60.249427795410156,355.0956271826701
8,1779955422.8675594,1264.427355663,90000,-161.34005737304688,59.432373046875,62.6671028137207,371.1881884965537
9,1779955619.8527908,1461.412575716,100000,-153.60704040527344,63.71742630004883,61.69493865966797,446.1981056963201
10,1779955814.693886,1656.253734084,110000,-152.849853515625,108.6791763305664,98.52071380615234,317.13805578192853
11,1779956009.2635975,1850.823319997,120000,-154.66342163085938,71.94195556640625,69.80581665039062,348.02739888728837
12,1779956204.0734136,2045.633094662,130000,-146.28575134277344,58.847251892089844,59.27109909057617,346.08593890353364
13,1779956397.8358407,2239.395591205,140000,-147.73854064941406,66.84956359863281,65.65251159667969,376.29644351991504
14,1779956591.7956927,2433.355517369,150000,-145.16244506835938,67.95680236816406,58.83134841918945,387.65047840536954
15,1779956785.6794052,2627.239219475,160000,-151.0317840576172,58.577796936035156,58.58241653442383,391.47053545164897
16,1779956979.9643295,2821.52393475,170000,-148.440673828125,53.9105110168457,51.862510681152344,373.48253144339776
17,1779957173.5780168,3015.137824018,180000,-148.7818603515625,50.551368713378906,48.96607208251953,366.4094096209663
18,1779957369.6737406,3211.23350531,190000,-147.5731658935547,41.35987854003906,45.585044860839844,422.87415637902296
19,1779957564.2277899,3405.787542947,200000,-149.96322631835938,67.16313171386719,59.995635986328125,409.4274269462172
20,1779957761.9414558,3603.501203116,210000,-155.85858154296875,75.42806243896484,77.37100219726562,576.51689793866
21,1779957963.0174036,3804.577150789,220000,-154.9798583984375,60.24433898925781,60.68146514892578,721.3341443834214
22,1779958162.0159633,4003.575718803,230000,-156.92977905273438,60.72138214111328,59.41794204711914,474.0532223741334
23,1779958361.104777,4202.664583611,240000,-160.97567749023438,72.83470153808594,68.30021667480469,592.3014963609082
24,1779958562.060143,4403.61986102,250000,-164.43069458007812,62.554439544677734,68.71890258789062,702.7987964586904
25,1779958763.0177639,4604.577568881,260000,-166.35830688476562,72.45382690429688,66.61447143554688,684.3031819072318
26,1779958962.6241345,4804.183844895,270000,-168.42193603515625,76.1093978881836,76.68173217773438,822.2890455646464
27,1779959162.7362154,5004.296002462,280000,-169.69473266601562,78.44279479980469,83.56050109863281,953.5283076678636
28,1779959362.9512458,5204.510982699,290000,-172.0178680419922,86.31745910644531,89.90418243408203,1328.8984029648589
29,1779959561.137222,5402.696963076,300000,-177.51028442382812,80.58727264404297,81.73348999023438,812.8744235421913
30,1779959759.4318335,5600.991581079,310000,-179.94247436523438,76.54647827148438,72.37315368652344,790.8009084215306
31,1779959955.5158334,5797.075630814,320000,-180.36801147460938,68.39834594726562,74.78713989257812,647.4514594002475
32,1779960151.2926838,5992.852393559,330000,-182.99172973632812,83.32025146484375,83.33074188232422,629.1797183772031
33,1779960350.1418388,6191.701663633,340000,-176.61883544921875,51.36758041381836,47.31219482421875,683.0282208502008
34,1779960557.7454677,6399.305209989,350000,-189.93936157226562,89.3271484375,88.79515075683594,1976.7399894815776
35,1779960759.3631823,6600.922985277,360000,-192.26950073242188,70.82211303710938,74.23216247558594,1323.9976140893116
36,1779960962.0315557,6803.591344604,370000,-193.0014190673828,104.4013671875,107.8946304321289,1535.116518099952
37,1779961161.9244454,7003.484258912,380000,-192.86297607421875,84.07133483886719,82.44151306152344,1094.0007944506572
38,1779961361.0279205,7202.58776878,390000,-192.1124267578125,87.16876220703125,72.45870208740234,969.7728401137176
39,1779961569.2251954,7410.785053353,400000,-202.16705322265625,82.0959243774414,83.19963073730469,2227.718444839282
40,1779961778.5670233,7620.126754562,410000,-205.77552795410156,68.79063415527344,72.24784851074219,2225.352180580404
41,1779961982.2198942,7823.779632634,420000,-198.9204864501953,82.9910659790039,77.08930206298828,1581.1966763810888
42,1779962185.4781039,8027.037707712,430000,-198.1717529296875,67.8757553100586,67.30368041992188,1628.731849189191
43,1779962383.765257,8225.32495965,440000,-198.00051879882812,76.01640319824219,68.63092041015625,867.7896398402412
44,1779962582.306519,8423.866243866,450000,-200.38916015625,82.51016998291016,84.04899597167969,958.4748236670326
45,1779962779.3631103,8620.922775425,460000,-209.04197692871094,89.16433715820312,88.36689758300781,889.0160330708586
46,1779962993.2491899,8834.808942465,470000,-207.34408569335938,79.36515045166016,82.69618225097656,2857.133803134452
47,1779963191.5805,9033.140301036,480000,-205.78125,85.70260620117188,90.42994689941406,1025.6148311392355
48,1779963388.1991138,9229.758885237,490000,-206.1945343017578,73.7473373413086,71.86184692382812,868.2839217421655
49,1779963585.237087,9426.796778389,500000,-207.28146362304688,79.16731262207031,78.40840911865234,844.9717910984045
50,1779963789.6588237,9631.218618518,510000,-201.70315551757812,70.8337173461914,70.74235534667969,1686.8844662560416
51,1779964000.6208265,9842.18065541,520000,-207.928466796875,82.49432373046875,82.710693359375,2397.9956282370713
52,1779964206.44005,10047.999785246,530000,-208.41818237304688,66.05812072753906,65.02330017089844,1699.408288309173
53,1779964412.7303307,10254.290124911,540000,-211.44451904296875,129.7754364013672,124.58768463134766,1780.989079164227
54,1779964620.6676502,10462.2274453,550000,-212.85769653320312,71.04692840576172,67.92206573486328,2165.274671524215
55,1779964822.5763264,10664.136109553,560000,-215.85910034179688,161.16998291015625,151.24827575683594,1536.5837265648984
56,1779965036.3165066,10877.87616589,570000,-216.43035888671875,85.14427185058594,83.11341094970703,2558.549860148578
57,1779965253.543971,11095.103681268,580000,-211.17726135253906,86.62187194824219,75.62960815429688,2847.545789032111
58,1779965459.9930248,11301.552777357,590000,-221.12339782714844,85.3558120727539,93.42343139648438,1903.3289307092418
59,1779965668.1920278,11509.751755593,600000,-221.37515258789062,95.79248046875,98.92221069335938,2070.4088820961797
60,1779965880.8495836,11722.409364537,610000,-216.62796020507812,63.61215591430664,64.09112548828125,2212.177496742805
61,1779966080.168983,11921.728758356,620000,-219.98275756835938,57.42179489135742,56.559814453125,811.6502355569831
62,1779966289.4506357,12131.010484745,630000,-218.04678344726562,109.93769836425781,110.45037078857422,2075.788932886704
63,1779966494.1681008,12335.727974438,640000,-206.39024353027344,75.4554443359375,74.80438232421875,1495.5693178268978
64,1779966712.9941263,12554.553921093,650000,-218.40512084960938,87.42208862304688,87.11683654785156,2978.169498504075
65,1779966928.1704252,12769.730101348,660000,-224.2419891357422,64.87290954589844,65.59618377685547,2959.3522141082713
66,1779967128.669197,12970.228923981,670000,-223.00830078125,88.96047973632812,88.58229064941406,1292.671709876802
67,1779967336.8450577,13178.404810166,680000,-217.65499877929688,148.7425537109375,120.23654174804688,2236.0106791648163
68,1779967548.5222862,13390.082023688,690000,-226.8373260498047,126.5799560546875,128.20196533203125,2668.5331413918125
69,1779967765.5970144,13607.156921182,700000,-228.88174438476562,111.83749389648438,108.69963073730469,3119.5593193931495
70,1779967987.2762864,13828.83601531,710000,-221.31112670898438,77.04521179199219,72.59497833251953,3083.7872454366843
71,1779968210.8733678,14052.433254714,720000,-223.38897705078125,88.11048889160156,95.26234436035156,2936.496289334652
72,1779968432.1656122,14273.725514999,730000,-228.11788940429688,67.70361328125,73.42536163330078,2713.5254750300764
73,1779968650.2301052,14491.789786422,740000,-222.94447326660156,100.58380126953125,98.91874694824219,2967.8356421392805
74,1779968888.8335288,14730.393428586,750000,-227.44485473632812,85.85106658935547,88.05453491210938,2483.6021806572753
75,1779969134.3332148,14975.893062209,760000,-219.146240234375,69.75479888916016,66.21728515625,2917.11177184651
76,1779969378.3608286,15219.920649944,770000,-227.41195678710938,77.14132690429688,81.36550903320312,3147.3005443338
77,1779969611.9239342,15453.483793303,780000,-225.80340576171875,83.62881469726562,84.77149963378906,2960.8482919739536
78,1779969842.4014935,15683.961354371,790000,-231.86912536621094,81.71623992919922,79.27704620361328,2717.672422471411
79,1779970071.7412567,15913.301206366,800000,-227.93016052246094,71.3980941772461,71.94304656982422,2766.1267692504534
80,1779970303.258889,16144.818676475,810000,-225.21275329589844,80.70571899414062,81.75997924804688,2988.1313457046117
81,1779970536.4408026,16378.000553752,820000,-233.68325805664062,91.85578918457031,85.16864013671875,3084.602949066251
82,1779970762.6552298,16604.215008117,830000,-233.7284393310547,301.070068359375,299.8016357421875,2343.773180876864
83,1779970997.7095253,16839.26932583,840000,-239.02230834960938,130.9345703125,125.38017272949219,3158.508118543234
84,1779971202.1312943,17043.691034678,850000,-233.9425811767578,83.57696533203125,85.69342041015625,1041.1310825126523
85,1779971406.8304012,17248.390090706,860000,-245.08016967773438,100.13005828857422,93.04251861572266,1840.7083709475496
86,1779971620.4454236,17462.005121126,870000,-231.89108276367188,98.85189056396484,97.43545532226562,2760.081069276945
87,1779971821.017051,17662.576786137,880000,-239.40213012695312,88.65023040771484,86.35972595214844,1121.8589909576792
88,1779972034.3149188,17875.87463794,890000,-243.51011657714844,84.44342041015625,74.89679718017578,2916.3283649467203
89,1779972234.2224586,18075.782088243,900000,-238.0802001953125,84.39642333984375,86.58651733398438,1217.9218286284186
90,1779972448.5996594,18290.159319017,910000,-236.00302124023438,85.11262512207031,83.34271240234375,3140.2683741180485
91,1779972656.466141,18498.025922596,920000,-242.2369384765625,71.7537841796875,78.31033325195312,2210.2268907483676
92,1779972868.91071,18710.470452313,930000,-241.1300506591797,87.28256225585938,85.02713012695312,2802.6607693835913
93,1779973078.7290506,18920.288789983,940000,-232.8234405517578,72.46304321289062,70.32524871826172,2517.151225800618
94,1779973280.7867358,19122.346455169,950000,-243.58035278320312,76.42732238769531,73.8353271484375,1651.8300622445324
95,1779973492.2318954,19333.791634085,960000,-231.84454345703125,98.19996643066406,96.25796508789062,2700.340190768392
96,1779973703.8671467,19545.426929545,970000,-242.68612670898438,88.83981323242188,89.47760009765625,2762.6695561313227
97,1779973911.6080852,19753.167817912,980000,-242.86325073242188,80.8936767578125,82.90209197998047,2144.4450055633415
98,1779974120.3652878,19961.924985486,990000,-237.36557006835938,288.2148742675781,285.73406982421875,1846.2776207722156
99,1779974336.9739816,20178.533847367,1000000.0,-240.56076049804688,112.91639709472656,106.52189636230469,2954.3618575216615
