_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779974365.2870574,8.392435351,10000,NaN,NaN,NaN,52.053102931027716
1,1779974371.4359808,14.541262087,20000,NaN,NaN,NaN,54.82329412575531
2,1779974406.7026129,49.807815092,30000,-10.260172843933105,1.9970524311065674,1.9891412258148193,4.8956313294711
3,1779974471.631553,114.736848215,40000,-41.194732666015625,10.490814208984375,9.988147735595703,37.94985977043622
4,1779974536.1931038,179.298303477,50000,-33.67989730834961,22.291501998901367,21.534996032714844,37.67675708821442
5,1779974601.1141343,244.219356758,60000,-48.54533767700195,6.082548141479492,6.715041160583496,153.36816863558803
6,1779974666.6605608,309.765944888,70000,-87.76402282714844,28.05206298828125,29.431283950805664,171.1613368359174
7,1779974732.0714824,375.176639465,80000,-91.09700775146484,39.44239807128906,42.311920166015625,154.65307290809724
8,1779974796.5252995,439.630609854,90000,-92.00719451904297,27.649368286132812,33.877830505371094,43.75462070851951
9,1779974862.9396684,506.044896553,100000,-108.3887939453125,31.300655364990234,31.104951858520508,287.74452893556986
10,1779974929.2717626,572.377005276,110000,-138.38851928710938,25.282672882080078,28.490859985351562,209.8422437076551
11,1779974996.049656,639.154955399,120000,-140.41522216796875,54.71769714355469,52.60036849975586,323.2947751994401
12,1779975068.5612404,711.66662445,130000,-131.197021484375,56.3113899230957,61.50776672363281,1072.5827704111578
13,1779975134.6310053,777.736279367,140000,-119.92266845703125,45.312904357910156,42.878509521484375,399.64885020382945
14,1779975200.7421572,843.847407675,150000,-117.31292724609375,39.97515869140625,45.392677307128906,305.8702868496127
15,1779975267.8585203,910.96372466,160000,-120.98216247558594,55.93614959716797,55.488563537597656,376.6116305746293
16,1779975333.8870173,976.992262615,170000,-124.77597045898438,51.07661437988281,50.947044372558594,369.6626334239213
17,1779975399.2762494,1042.381564821,180000,-140.47811889648438,59.816165924072266,62.75472640991211,440.6657293938555
18,1779975463.860391,1106.965986921,190000,-147.7275848388672,81.05870056152344,76.48356628417969,322.41038115254526
