_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779782357.9728827,84.631599648,180000,-70.26759338378906,12.793900489807129,13.945037841796875,194.7032999974898
1,1779782438.9388766,165.597459618,190000,-73.03533172607422,13.550715446472168,12.627813339233398,151.32275339742688
2,1779782519.6539397,246.312525202,200000,-71.76075744628906,8.608752250671387,9.215664863586426,153.45293580065362
3,1779782597.9707527,324.629342186,210000,-70.35926818847656,9.834938049316406,11.23785400390625,168.2480466606362
4,1779782679.965369,406.624026519,220000,-73.84370422363281,19.122922897338867,18.693941116333008,220.99038120685177
5,1779782761.9840605,488.64271858,230000,-71.72146606445312,8.416497230529785,8.898809432983398,174.74111417569833
6,1779782843.8608818,570.519508835,240000,-70.27041625976562,9.214614868164062,9.762371063232422,205.35125771311337
7,1779782930.283669,656.942209473,250000,-67.46887969970703,11.559709548950195,12.362082481384277,999.0720552323907
8,1779783006.735109,733.393669554,260000,-72.41216278076172,8.346719741821289,7.88967227935791,164.3291454607788
9,1779783083.0108554,809.669424487,270000,-68.99859619140625,21.97113037109375,20.93151092529297,181.34252537234
10,1779783158.896402,885.554923733,280000,-69.4796142578125,16.23401641845703,16.809261322021484,169.76683229174049
11,1779783234.9876156,961.646178413,290000,-72.81134033203125,12.478021621704102,12.78770637512207,186.16941328725065
12,1779783310.930975,1037.589411267,300000,-73.25150299072266,14.123144149780273,13.896568298339844,225.11179642484913
13,1779783386.6192615,1113.277796614,310000,-77.34017944335938,12.196361541748047,13.670327186584473,218.86919442128593
14,1779783462.594777,1189.253321523,320000,-82.12537384033203,9.41977310180664,8.534698486328125,263.4501031273727
15,1779783538.8867033,1265.545322238,330000,-79.33358001708984,10.948002815246582,11.48918628692627,235.5230309675895
16,1779783613.9200752,1340.578638291,340000,-78.97196960449219,11.634620666503906,10.898554801940918,239.64871275080614
17,1779783687.1061862,1413.764526713,350000,-80.25883483886719,15.099395751953125,15.61865520477295,243.82408699435706
18,1779783759.9137683,1486.572193816,360000,-80.32791900634766,16.510276794433594,15.974752426147461,156.71366556716467
19,1779783833.067852,1559.726250275,370000,-79.895263671875,12.101757049560547,11.090961456298828,203.54997854730533
20,1779783906.1355155,1632.794048158,380000,-78.0106201171875,10.49598503112793,10.548786163330078,221.23797327378412
21,1779783979.1189299,1705.777353365,390000,-77.82429504394531,16.963546752929688,18.80075454711914,224.98027522421808
22,1779784052.4069195,1779.065432937,400000,-76.9373779296875,16.723251342773438,15.931232452392578,221.38102501842764
23,1779784125.8352418,1852.493734508,410000,-73.01020812988281,12.996556282043457,15.60693645477295,224.61569530224747
24,1779784199.0702703,1925.728803126,420000,-76.94683837890625,13.127565383911133,14.621894836425781,221.34436327302902
25,1779784272.5891638,1999.247641648,430000,-78.20138549804688,18.30838394165039,16.507827758789062,225.23774038873586
26,1779784346.4768975,2073.135384645,440000,-78.93778228759766,14.993370056152344,16.583364486694336,255.9043748706311
27,1779784419.5171628,2146.175629406,450000,-76.48076629638672,19.536651611328125,21.480609893798828,225.98376904914068
28,1779784492.7038772,2219.362357755,460000,-79.64541625976562,12.09189224243164,13.823092460632324,293.4239892473336
29,1779784565.344994,2292.003482218,470000,-78.6269302368164,15.549918174743652,14.041509628295898,238.364100245932
30,1779784638.1048226,2364.763376593,480000,-81.50874328613281,15.833197593688965,16.039447784423828,282.7903390268738
31,1779784711.5713716,2438.229973209,490000,-83.00273132324219,10.169913291931152,9.425849914550781,180.11904785767555
32,1779784785.88849,2512.546961076,500000,-81.24874877929688,12.409650802612305,10.94352912902832,254.95544637047624
33,1779784860.3115587,2586.970085365,510000,-82.610595703125,15.681663513183594,15.420839309692383,222.60792626111106
34,1779784935.011692,2661.670207896,520000,-83.63601684570312,18.80398178100586,16.521787643432617,275.9096213525721
35,1779785008.8697581,2735.528267851,530000,-80.40135192871094,24.0732421875,23.167400360107422,306.04489541470326
36,1779785081.761135,2808.4195341,540000,-81.90813446044922,15.364628791809082,17.471187591552734,208.59805185944356
37,1779785154.1200292,2880.778467585,550000,-80.28697967529297,16.0384521484375,17.04143524169922,256.43651885315904
38,1779785226.690211,2953.348659239,560000,-81.08636474609375,27.982784271240234,33.0538330078125,287.6703735538373
39,1779785299.6356504,3026.294115242,570000,-82.55779266357422,25.46691131591797,23.795190811157227,271.5112914240275
40,1779785373.0140896,3099.672576648,580000,-81.73961639404297,23.19680404663086,19.218124389648438,225.6567108820187
41,1779785446.4059935,3173.064399362,590000,-82.76904296875,14.886375427246094,14.536943435668945,232.18362678817545
42,1779785519.3860106,3246.04449351,600000,-82.11029052734375,23.050891876220703,24.031368255615234,261.35841919694633
43,1779785592.3714235,3319.029948356,610000,-82.92884826660156,20.191299438476562,19.124847412109375,228.69098600092326
