_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779788521.209173,8.680056291,10000,NaN,NaN,NaN,7.637011509599863
1,1779788527.2362676,14.706936917,20000,NaN,NaN,NaN,7.527479966365371
2,1779788633.2624924,120.733043312,30000,-11.750213623046875,0.8549632430076599,0.9224579334259033,37.948383879913045
3,1779788841.8069117,329.277525507,40000,-28.192054748535156,5.183449745178223,5.273961544036865,70.1016769332017
4,1779789052.8464224,540.31708259,50000,-38.1080436706543,8.118541717529297,8.31279468536377,182.5128128266477
5,1779789262.4163532,749.886980544,60000,-51.8292121887207,10.769786834716797,10.438371658325195,137.63834574262677
6,1779789477.4300938,964.900770609,70000,-58.59414291381836,32.634765625,33.0905876159668,105.24447062892891
7,1779789691.3244839,1178.795168453,80000,-55.036285400390625,20.026779174804688,19.853755950927734,119.46319103480712
8,1779789904.7790036,1392.249574031,90000,-63.28031539916992,21.482839584350586,21.013458251953125,174.0578540738233
9,1779790146.058801,1633.529496118,100000,-60.519309997558594,18.501384735107422,16.972768783569336,986.3062590029
10,1779790359.6874328,1847.158103661,110000,-58.863182067871094,25.753517150878906,29.279504776000977,116.18642271856672
11,1779790571.6447146,2059.115320914,120000,-62.317626953125,14.794290542602539,15.418783187866211,135.57414899211602
12,1779790784.1734955,2271.644158732,130000,-63.36436080932617,11.217080116271973,11.204729080200195,181.52062211341118
13,1779790999.2904458,2486.761096459,140000,-63.23999786376953,15.993215560913086,16.852514266967773,166.37343750957024
14,1779791216.5228906,2703.993595729,150000,-61.66657638549805,15.893106460571289,15.053871154785156,212.06686826896538
15,1779791437.0395615,2924.510362034,160000,-62.24029541015625,19.964614868164062,18.695335388183594,445.3047365099912
16,1779791652.3530297,3139.823620027,170000,-69.51335144042969,12.093060493469238,11.773481369018555,227.54795926058736
17,1779791865.0612538,3352.531879919,180000,-67.32075500488281,17.464527130126953,18.74465560913086,201.96660558182035
18,1779792079.2097476,3566.680332908,190000,-65.62162780761719,15.737460136413574,15.398164749145508,188.11667785798556
19,1779792294.2955348,3781.766155141,200000,-71.99242401123047,14.497528076171875,14.138090133666992,190.40140198989576
20,1779792510.4106867,3997.881316692,210000,-74.73553466796875,21.16344451904297,21.044662475585938,263.4175256837217
21,1779792727.434228,4214.904862536,220000,-80.18830871582031,20.03593635559082,17.426963806152344,238.97615294974725
22,1779792945.9734206,4433.444129853,230000,-75.24252319335938,15.703670501708984,16.088176727294922,161.1982043247501
23,1779793163.9177792,4651.388363584,240000,-78.67901611328125,16.494632720947266,17.167171478271484,228.01398779654204
24,1779793381.39737,4868.868032616,250000,-77.30799102783203,19.015087127685547,19.148391723632812,149.93846044818036
25,1779793598.3664827,5085.837116419,260000,-77.29631042480469,18.772659301757812,18.661190032958984,237.39596539381546
26,1779793818.1010566,5305.571649641,270000,-74.48973083496094,12.87371826171875,12.656084060668945,263.1602066831615
27,1779794036.3395221,5523.81047071,280000,-76.00379943847656,18.124202728271484,18.86996078491211,276.51356631361386
28,1779794253.6223164,5741.092869671,290000,-75.37759399414062,18.65013313293457,19.642803192138672,249.67082183261618
29,1779794474.1238017,5961.594370171,300000,-78.82632446289062,16.025672912597656,16.357789993286133,261.0973219300105
30,1779794694.5553927,6182.025992148,310000,-77.40906524658203,28.483192443847656,27.21742057800293,271.85584661176296
31,1779794913.828276,6401.298827112,320000,-82.1963882446289,16.171192169189453,13.642911911010742,236.68634425039886
32,1779795135.8157554,6623.286475648,330000,-83.8232421875,17.529664993286133,17.85272789001465,272.67138718331694
33,1779795360.6741545,6848.144919049,340000,-83.77875518798828,17.0040283203125,18.630313873291016,281.7758786199409
34,1779795584.9416184,7072.412287827,350000,-82.97715759277344,15.841833114624023,16.90312957763672,264.1431987754877
35,1779795805.5831447,7293.053800173,360000,-83.22462463378906,15.173847198486328,14.776795387268066,259.30647458911204
36,1779796027.3646781,7514.835343714,370000,-85.8604507446289,18.40575408935547,19.207008361816406,235.2311282784542
37,1779796247.898474,7735.369071377,380000,-84.01200866699219,25.449867248535156,22.503782272338867,268.9566261359027
38,1779796467.7673833,7955.238077932,390000,-84.92594909667969,14.971636772155762,13.836933135986328,205.40328686939307
