_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779810349.6867383,9.44835118,10000,NaN,NaN,NaN,57.40410761222231
1,1779810356.498399,16.259882629,20000,NaN,NaN,NaN,55.92748636195074
2,1779810395.2421832,55.003651727,30000,-18.03560447692871,4.088154315948486,4.082242965698242,174.4265492742956
3,1779810465.4126399,125.174178236,40000,-50.991905212402344,41.347686767578125,39.54718780517578,173.3495094406444
4,1779810536.6707342,196.432374676,50000,-67.46240234375,79.42024230957031,79.6152572631836,179.46147184502306
5,1779810610.4575856,270.219208163,60000,-86.51533508300781,60.8922119140625,65.21005249023438,130.684099287599
6,1779810683.8851178,343.646731958,70000,-91.41363525390625,83.85235595703125,88.78936767578125,166.62644138329333
7,1779810757.7782881,417.539829231,80000,-88.29849243164062,91.00208282470703,86.97026062011719,181.34925617962642
8,1779810831.3314452,491.093071407,90000,-90.31893157958984,37.50349044799805,41.128875732421875,194.67441520287443
9,1779810903.1420786,562.903584538,100000,-84.00088500976562,36.963565826416016,40.825164794921875,149.88925389322344
10,1779810974.6630433,634.424604206,110000,-80.3393325805664,73.62431335449219,81.39776611328125,228.2474573785687
11,1779811047.6625874,707.424058594,120000,-83.1903076171875,80.77548217773438,75.86820983886719,179.01435425337448
12,1779811119.5664554,779.328048348,130000,-80.3663101196289,33.18552780151367,31.488426208496094,241.8573630505764
13,1779811190.909803,850.671218637,140000,-79.99028015136719,34.34083938598633,26.104171752929688,227.9745144549892
14,1779811261.9557872,921.717311094,150000,-79.67290496826172,25.846521377563477,24.13479995727539,170.61052428504453
15,1779811334.4163759,994.177890373,160000,-84.53292083740234,33.813995361328125,41.62804412841797,232.52322899727727
16,1779811407.4159386,1067.177499806,170000,-89.02847290039062,78.76444244384766,81.69393920898438,237.4331515822884
17,1779811480.134309,1139.895929778,180000,-87.78770446777344,38.853389739990234,48.43110275268555,236.79274442908732
18,1779811552.3778563,1212.139514748,190000,-88.91156768798828,35.260189056396484,42.17725372314453,239.49785170113813
19,1779811624.5303195,1284.291877933,200000,-85.36465454101562,45.17718505859375,51.12836837768555,241.03932721572488
20,1779811700.7240613,1360.485575666,210000,-91.66227722167969,45.24406433105469,51.984779357910156,217.34335415250635
21,1779811775.2109392,1434.972501053,220000,-89.42205810546875,63.3162956237793,66.42387390136719,236.79653348572702
22,1779811847.4885466,1507.250088552,230000,-85.7446517944336,20.090133666992188,18.623546600341797,225.13331811948507
23,1779811919.9465008,1579.708069259,240000,-89.3548355102539,22.337154388427734,28.785057067871094,229.49148241745002
24,1779811992.9941533,1652.75575446,250000,-91.92630767822266,35.5423583984375,29.31865119934082,232.0979484074312
25,1779812065.2366145,1724.998135087,260000,-87.42127990722656,34.98088836669922,35.782466888427734,241.16644831515163
26,1779812137.009005,1796.77051088,270000,-89.72771453857422,50.4737663269043,48.716041564941406,223.4560346587612
27,1779812210.0194845,1869.780975786,280000,-88.57620239257812,16.330059051513672,18.12630271911621,239.43022964222868
28,1779812282.072664,1941.834169942,290000,-92.47938537597656,79.54292297363281,68.38037872314453,247.61123899631792
29,1779812354.5656679,2014.327106337,300000,-93.11557006835938,16.937828063964844,19.60455894470215,251.7944340182312
30,1779812426.323878,2086.085468165,310000,-90.77861785888672,37.5560302734375,36.76039123535156,243.90854479914688
31,1779812500.2992172,2160.060772895,320000,-93.30181884765625,68.18010711669922,53.26144027709961,236.28804959864564
32,1779812575.06881,2234.830339198,330000,-93.74107360839844,54.85443115234375,56.95573425292969,257.0457996189782
33,1779812648.3791015,2308.140626789,340000,-95.62328338623047,75.40609741210938,69.71659851074219,258.44364144891654
34,1779812722.296372,2382.057857843,350000,-97.62020874023438,20.379425048828125,33.99604797363281,258.54556438853155
35,1779812794.654604,2454.416103553,360000,-94.00643157958984,14.19112777709961,14.501434326171875,246.55036959254213
36,1779812867.0678747,2526.829361333,370000,-99.60675811767578,21.17880630493164,35.39558410644531,285.17110165883435
37,1779812939.6174586,2599.378977631,380000,-96.43965911865234,66.65206909179688,64.83406829833984,271.39418235249093
38,1779813011.1527796,2670.914241745,390000,-102.08605194091797,13.871505737304688,12.552330017089844,276.3084867918322
39,1779813082.3727324,2742.13429189,400000,-100.71408081054688,23.513458251953125,22.627500534057617,278.15798055771546
40,1779813154.7851596,2814.546769636,410000,-102.01537322998047,29.69501495361328,31.398147583007812,280.4355231673304
41,1779813227.1627333,2886.924202544,420000,-97.5230712890625,69.87583923339844,64.66271209716797,312.8533618048576
42,1779813299.6436844,2959.405162498,430000,-101.3060302734375,19.831783294677734,18.250732421875,275.99269880298687
43,1779813373.554272,3033.315835937,440000,-97.92080688476562,72.24900817871094,51.28934097290039,314.0884701211854
44,1779813448.0160484,3107.777482347,450000,-98.67516326904297,31.972740173339844,34.65030288696289,295.1050674361746
45,1779813521.2605681,3181.022117791,460000,-100.55911254882812,15.98310661315918,15.848133087158203,294.16454134201956
46,1779813594.5987184,3254.360302826,470000,-99.2720947265625,22.42926597595215,28.799007415771484,300.255145741682
47,1779813667.3927703,3327.15429237,480000,-99.7576904296875,52.005836486816406,39.43096923828125,288.57677382494364
48,1779813739.498138,3399.259644339,490000,-101.81788635253906,23.355466842651367,21.609786987304688,294.50501142822947
49,1779813813.8433738,3473.604889997,500000,-98.62310028076172,16.20355987548828,15.434802055358887,282.83807633670926
50,1779813888.4546719,3548.216270722,510000,-101.33334350585938,44.81591033935547,49.55959701538086,257.8958580797307
