_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1780053938.9588103,8.467815808,10000,NaN,NaN,NaN,7.546510235305486
1,1780053944.9873981,14.496195514,20000,NaN,NaN,NaN,7.520186398803004
2,1780054046.8429487,116.351780004,30000,-12.071435928344727,1.3775231838226318,1.4219715595245361,61.53037624300938
3,1780054249.5640328,319.072858515,40000,-39.004913330078125,21.17304229736328,20.586490631103516,170.84752915853238
4,1780054453.8591106,523.368029234,50000,-55.21828079223633,18.304149627685547,19.030696868896484,95.23881165492031
5,1780054659.837841,729.346718676,60000,-68.12154388427734,22.136001586914062,20.994056701660156,119.77510684790006
6,1780054867.142851,936.651600652,70000,-69.9828872680664,23.36239242553711,22.567358016967773,149.65307854922233
7,1780055072.1636906,1141.672403171,80000,-70.20074462890625,35.998897552490234,35.910377502441406,172.97929822188442
8,1780055279.9803674,1349.48924284,90000,-69.76416778564453,25.793230056762695,25.384328842163086,179.3792644868997
9,1780055488.5015464,1558.010391116,100000,-73.69558715820312,25.738834381103516,26.465791702270508,236.68892331398615
10,1780055696.952503,1766.461325003,110000,-71.79640197753906,20.89028549194336,21.931602478027344,196.35283478782506
11,1780055905.3128352,1974.821659883,120000,-73.85565185546875,19.58391761779785,18.172470092773438,232.1709353640611
12,1780056115.626684,2185.1355588,130000,-73.59342956542969,26.38277816772461,27.521812438964844,204.16605472837148
13,1780056323.959956,2393.468805265,140000,-74.81385803222656,24.24935531616211,23.448333740234375,173.70661104620712
14,1780056530.981155,2600.489943997,150000,-73.06407928466797,36.29963302612305,36.30621337890625,213.58796785756903
15,1780056737.9118526,2807.420908596,160000,-75.8795166015625,36.069759368896484,36.81262969970703,118.98141388950151
16,1780056946.7279086,3016.236622137,170000,-78.013671875,24.467666625976562,24.24225425720215,190.72376581762416
17,1780057157.3853,3226.894141207,180000,-79.40202331542969,16.689170837402344,16.46550941467285,148.98491370446504
18,1780057366.8975575,3436.406345575,190000,-75.14259338378906,27.7216854095459,27.784103393554688,156.22253535500823
19,1780057575.2977233,3644.806560821,200000,-74.20465087890625,22.8937931060791,22.063156127929688,255.4929059931141
20,1780057784.9973886,3854.506244197,210000,-75.6900634765625,19.70172119140625,21.04853057861328,192.73658168034586
21,1780057993.0510082,4062.559856359,220000,-76.60287475585938,20.542449951171875,19.87610626220703,286.87690370723254
22,1780058203.043775,4272.552617843,230000,-76.58629608154297,26.48360824584961,26.83391571044922,256.7078664229748
23,1780058413.9984927,4483.507378944,240000,-77.2063217163086,24.46154022216797,22.148487091064453,201.39006651509183
24,1780058624.0877082,4693.596544844,250000,-79.21391296386719,18.96984100341797,17.61650848388672,267.4433797190499
25,1780058831.5714314,4901.080202125,260000,-74.95823669433594,31.412860870361328,33.90211486816406,206.10355672367547
26,1780059040.172793,5109.681623102,270000,-80.28779602050781,24.31603240966797,26.6826171875,254.61417770270106
27,1780059248.650921,5318.15965055,280000,-80.44602966308594,21.976886749267578,22.43768310546875,173.48303050858456
28,1780059457.007156,5526.515940783,290000,-80.052490234375,33.706871032714844,33.8549919128418,195.694518750534
29,1780059664.4120061,5733.920838619,300000,-81.0133056640625,38.56169891357422,37.9664306640625,204.70128269184067
30,1780059878.5308592,5948.039667711,310000,-79.3753662109375,34.887603759765625,33.520301818847656,377.18776986668115
31,1780060089.3716726,6158.880429901,320000,-82.96009063720703,23.247507095336914,22.64699363708496,204.83495143085239
32,1780060305.538312,6375.047032856,330000,-79.2241439819336,25.31631851196289,24.022857666015625,411.15631599985875
33,1780060530.200471,6599.709306696,340000,-84.388427734375,21.555713653564453,22.1722354888916,745.2600968713438
34,1780060739.5443177,6809.053169393,350000,-79.22152709960938,27.494598388671875,28.927961349487305,230.8737148348824
35,1780060949.1913605,7018.700155317,360000,-79.18090057373047,36.23741912841797,36.128570556640625,228.2677350325298
36,1780061158.8867564,7228.395628876,370000,-80.14498138427734,27.243690490722656,24.637826919555664,235.64038053478035
37,1780061365.9964,7435.505257358,380000,-85.72579193115234,21.708248138427734,20.35616683959961,112.43383500992931
38,1780061576.4152322,7645.924008489,390000,-79.91542053222656,29.54513168334961,27.843469619750977,243.02186619770242
39,1780061788.038528,7857.547303765,400000,-80.1572265625,22.13602638244629,26.047988891601562,256.9560469746142
40,1780061998.5915625,8068.100346533,410000,-82.39127349853516,26.522090911865234,26.126708984375,277.46193840175766
41,1780062209.3075793,8278.816380064,420000,-82.94064331054688,26.635868072509766,26.45126724243164,290.995016683777
42,1780062421.4244692,8490.933206545,430000,-76.00157928466797,35.39466094970703,35.108428955078125,310.8929285582634
43,1780062630.6372628,8700.146005174,440000,-81.19223022460938,23.132568359375,21.61066436767578,214.55253905626682
44,1780062840.9464011,8910.455153902,450000,-80.74099731445312,25.25559425354004,24.30685043334961,248.4280951475263
45,1780063052.0900373,9121.598725829,460000,-81.33427429199219,45.74596405029297,45.63206100463867,300.56869263230743
46,1780063261.6684935,9331.17719995,470000,-81.6411361694336,26.019134521484375,24.28035545349121,268.0041824263538
47,1780063470.9143913,9540.423103022,480000,-82.637939453125,24.332191467285156,24.732696533203125,253.86989282007048
48,1780063681.6662195,9751.175031419,490000,-83.85723876953125,30.919748306274414,30.96152114868164,228.89649048770315
49,1780063891.970664,9961.479440822,500000,-85.9214096069336,23.033763885498047,26.271289825439453,345.2513709977857
50,1780064102.3004868,10171.8092192,510000,-88.02203369140625,22.405242919921875,20.676876068115234,281.1244055785297
51,1780064311.9784331,10381.487250733,520000,-83.39234161376953,34.113372802734375,34.7393913269043,298.6424330962485
52,1780064523.19068,10592.699481767,530000,-89.03274536132812,26.77192497253418,27.181354522705078,289.14905023648555
53,1780064733.2967758,10802.805559339,540000,-88.02630615234375,26.75636100769043,26.15553092956543,282.768629623015
54,1780064942.804556,11012.313406777,550000,-88.79674530029297,26.23624610900879,25.727405548095703,286.5079057458683
55,1780065154.6542811,11224.163112185,560000,-88.85877990722656,26.939006805419922,23.56667137145996,278.51104345795335
56,1780065366.3319778,11435.84084824,570000,-81.48664093017578,28.533166885375977,27.832155227661133,276.129342359562
57,1780065578.7625537,11648.271347958,580000,-86.81336975097656,29.60956573486328,27.575599670410156,264.9522549996784
58,1780065787.730225,11857.239078907,590000,-87.43479919433594,35.60330581665039,36.13215637207031,233.61101090869283
59,1780065996.2573953,12065.766301794,600000,-89.81609344482422,22.908281326293945,23.558177947998047,294.61871860178445
60,1780066209.0028012,12278.511701576,610000,-87.50534057617188,52.23225021362305,46.081329345703125,333.96049320472014
61,1780066420.717948,12490.226754712,620000,-89.0544204711914,28.812053680419922,28.760316848754883,292.99793912808826
62,1780066631.7260022,12701.23482592,630000,-88.05696105957031,25.477508544921875,26.690414428710938,188.74092893876258
63,1780066843.2246735,12912.733429409,640000,-87.7572250366211,32.849143981933594,30.52106285095215,286.2402567615497
64,1780067052.0094755,13121.518402709,650000,-85.16947937011719,37.46825408935547,38.76728057861328,214.86018061142644
65,1780067263.5763166,13333.08511119,660000,-88.57015228271484,37.06707763671875,31.430946350097656,293.9030938525997
66,1780067475.5784779,13545.087197805,670000,-90.25779724121094,25.265256881713867,23.151992797851562,293.8733350293599
67,1780067685.9395678,13755.448292157,680000,-93.50439453125,18.801864624023438,20.195253372192383,269.34137727896007
68,1780067896.1547596,13965.663584674,690000,-92.17008972167969,24.117626190185547,27.23674201965332,228.82146605434633
69,1780068107.444782,14176.953748681,700000,-90.05397033691406,24.263967514038086,23.758588790893555,279.7488200683707
70,1780068318.2820761,14387.7908786,710000,-87.53977966308594,26.603742599487305,26.34172821044922,279.97790569460847
71,1780068528.138174,14597.647070647,720000,-86.36256408691406,39.12198257446289,41.1280403137207,273.7724023985043
72,1780068738.900209,14808.408979118,730000,-89.63673400878906,24.97844696044922,22.725801467895508,251.1874214741817
73,1780068953.216097,15022.724978019,740000,-90.19043731689453,22.852888107299805,20.66210174560547,250.53713855655647
74,1780069166.8157544,15236.324513207,750000,-89.95693969726562,23.40431022644043,23.171199798583984,221.78186815176377
75,1780069377.8910546,15447.399965133,760000,-91.02190399169922,40.55899429321289,40.7242431640625,256.069027807118
76,1780069588.3035567,15657.812332623,770000,-91.0289077758789,24.72832489013672,21.230640411376953,300.2032952511785
77,1780069797.7261488,15867.234972218,780000,-91.39454650878906,30.840030670166016,31.626171112060547,288.1239814995405
78,1780070010.6042905,16080.113097124,790000,-89.29497528076172,38.3977165222168,37.98176574707031,270.3868495412401
79,1780070228.6311848,16298.140085504,800000,-92.41690063476562,28.561416625976562,28.011920928955078,285.22115569920743
80,1780070445.0556045,16514.564394251,810000,-89.20697021484375,31.041994094848633,31.347095489501953,256.92974184170583
81,1780070661.4391572,16730.94802881,820000,-87.12517547607422,23.493558883666992,25.512086868286133,243.42419123996973
82,1780070886.5838954,16956.092814517,830000,-89.60160827636719,31.85808563232422,31.76626968383789,265.9463430564347
83,1780071116.1133022,17185.622174108,840000,-92.0535888671875,21.754987716674805,20.12002182006836,303.3987546542845
84,1780071334.0998082,17403.608691205,850000,-92.12764739990234,32.270591735839844,33.491058349609375,319.38355232429086
85,1780071543.6007354,17613.109548559,860000,-95.17124938964844,26.018310546875,23.194055557250977,243.62497917766296
86,1780071754.1349583,17823.643884769,870000,-93.4107666015625,20.780101776123047,20.19791030883789,233.65508982629453
87,1780071964.107454,18033.61622987,880000,-95.38031768798828,20.99622344970703,20.87442398071289,246.42459958914978
88,1780072173.0497851,18242.558569391,890000,-88.54029083251953,23.50542449951172,21.675722122192383,339.7510279053923
89,1780072382.2189753,18451.727781801,900000,-90.50518798828125,43.33031463623047,46.39409637451172,343.4039409136579
90,1780072591.1255152,18660.634256775,910000,-91.1827163696289,27.795394897460938,30.00711441040039,304.88090206955525
91,1780072801.9079423,18871.416835747,920000,-88.91651153564453,28.457630157470703,24.964405059814453,211.7882736356794
92,1780073009.5422492,19079.05105214,930000,-93.84434509277344,31.08981704711914,33.8697509765625,277.91667631384774
93,1780073218.6455874,19288.154384197,940000,-92.12330627441406,35.56721115112305,36.2082633972168,247.69501472706625
94,1780073429.1240947,19498.633030013,950000,-91.44395446777344,24.881481170654297,24.387205123901367,270.44443492041313
95,1780073640.801319,19710.310081773,960000,-93.67971801757812,28.416292190551758,28.27768898010254,262.29385489455467
96,1780073853.1516738,19922.660549368,970000,-94.27032470703125,31.83197593688965,29.736896514892578,256.9820761059392
97,1780074064.357127,20133.865909272,980000,-93.95172882080078,22.73529815673828,22.75937843322754,191.5907377908609
98,1780074277.027425,20346.536251425,990000,-95.44669342041016,20.092687606811523,18.742034912109375,242.50447625695762
99,1780074487.861253,20557.370088776,1000000.0,-94.68728637695312,24.546918869018555,25.906829833984375,293.58132254336607
