id,name,state,created_at,updated_at,url,tags,summary._runtime,summary._step,summary._timestamp,summary._wandb,summary.actor_loss,summary.critic1_loss,summary.critic2_loss,summary.eval/return,summary.step,metadata.os,metadata.python,metadata.startedAt,metadata.args,metadata.program,metadata.codePath,metadata.codePathLocal,metadata.git.remote,metadata.git.commit,metadata.email,metadata.root,metadata.host,metadata.executable,metadata.cpu_count,metadata.cpu_count_logical,metadata.gpu,metadata.gpu_count,metadata.disk./.total,metadata.disk./.used,metadata.memory.total,metadata.gpu_nvidia,metadata.cudaVersion,metadata.writerId,summary.reward_model_loss
kzd45x6w,rl_p1_mlp_seed42,crashed,2026-04-17T10:01:04Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/kzd45x6w,,212.208580931,5.0,1776420277.6447396,{'runtime': 212},-123.35365295410156,20.345211029052734,16.809680938720703,288.37875689100485,60000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-17T10:01:03.871467Z,"['experiment.name=rl_p1_mlp_seed42', 'agent=td3_mlp', 'env=hopper_full', 'seed=42', 'total_steps=1000000', 'eval_interval=10000', 'eval_episodes=10']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,1e37d472a8f2,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354348318720,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-92f24c24-f100-112c-2677-d5e87bc1c417'}]",13.0,mdrirk99rde0hhu24r9bvhx69c9ouz0d,
yr2d49i3,rl_p1_mlp_seed42,crashed,2026-04-17T10:05:51Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/yr2d49i3,,1377.936443785,25.0,1776421729.6068895,{'runtime': 1377},-145.51739501953125,3.717766046524048,4.265814781188965,440.9534307077076,260000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-17T10:05:50.587160Z,"['experiment.name=rl_p1_mlp_seed42', 'agent=td3_mlp', 'env=hopper_full', 'seed=42', 'total_steps=1000000', 'eval_interval=10000', 'eval_episodes=10']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,1e37d472a8f2,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354348953600,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-92f24c24-f100-112c-2677-d5e87bc1c417'}]",13.0,anvs4z4t1bvicn0xpjddiv2g5j41gx1b,
d48k9682,rl_p1_mlp_seed42,killed,2026-04-21T10:21:58Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/d48k9682,,136.0,3.0,1776767035.1682258,{'runtime': 136},-62.68088150024414,12.155818939208984,12.853150367736816,260.39222044929545,40000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T10:21:57.158675Z,"['experiment.name=rl_p1_mlp_seed42', 'agent=td3_mlp', 'env=hopper_full', 'seed=42', 'total_steps=1000000', 'eval_interval=10000', 'eval_episodes=10']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354303160320,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,5r885zxsipiz1g35scpwnvhez0jy097t,
vuxqctj9,rl_p1_mlp_seed42,killed,2026-04-21T10:25:33Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/vuxqctj9,,98.0,2.0,1776767180.180375,{'runtime': 98},-17.430919647216797,2.443986415863037,2.718743085861206,170.42325178420754,30000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T10:25:32.526288Z,"['experiment.name=rl_p1_mlp_seed42', 'agent=td3_mlp', 'env=hopper_full', 'seed=42', 'total_steps=50000', 'eval_interval=10000', 'eval_episodes=10']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354303279104,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,dz1iczni0xd9vx9ev54nj3ixae67xvxy,
0aij1yn1,rl_p1_mlp_seed42,finished,2026-04-21T10:27:36Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/0aij1yn1,,178.0,4.0,1776767434.7896354,{'runtime': 178},-95.84273529052734,15.813939094543455,12.361865997314451,224.066146777862,50000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T10:27:35.675391Z,"['experiment.name=rl_p1_mlp_seed42', 'agent=td3_mlp', 'env=hopper_full', 'seed=42', 'total_steps=50000', 'eval_interval=10000', 'eval_episodes=5']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354303324160,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,lwgkm3zc6i5vupxqpp6jgoghrbj765kk,
rwd0guvj,rl_p1_mlp_seed43,finished,2026-04-21T10:30:39Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/rwd0guvj,,174.0,4.0,1776767614.6384354,{'runtime': 174},-74.902099609375,5.635014533996582,6.668279647827148,173.429651254614,50000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T10:30:39.157460Z,"['experiment.name=rl_p1_mlp_seed43', 'agent=td3_mlp', 'env=hopper_full', 'seed=43', 'total_steps=50000', 'eval_interval=10000', 'eval_episodes=5']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354303344640,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,mrxse090tlooutl51jvhz95pteel96pn,
jqfelqbd,rl_p1_mlp_seed44,finished,2026-04-21T10:33:39Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/jqfelqbd,,173.0,4.0,1776767793.519204,{'runtime': 173},-102.58039855957033,16.962419509887695,17.340778350830078,199.58384112401455,50000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T10:33:38.828951Z,"['experiment.name=rl_p1_mlp_seed44', 'agent=td3_mlp', 'env=hopper_full', 'seed=44', 'total_steps=50000', 'eval_interval=10000', 'eval_episodes=5']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354303524864,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,qcw3vke31i0fyb87h6gjx004p6sbedqf,
subebgva,rl_p1_tr_L4_seed42,crashed,2026-04-21T10:36:38Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/subebgva,,100.123734991,2.0,1776767898.7529154,{'runtime': 100},-17.83354949951172,3.783118963241577,4.096215724945068,170.573330794495,30000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T10:36:37.857085Z,"['experiment.name=rl_p1_tr_L4_seed42', 'agent=td3_transformer', 'env=hopper_full', 'seed=42', 'agent.actor.context_length=4', 'total_steps=50000', 'eval_interval=10000', 'eval_episodes=5']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,5c97f28002b87ca8059975e1df765e2be02bc691,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354303541248,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,u0b1zzh5lbaduxrpmzftklwmkjeunh2e,
6hub30i9,rl_p1_tr_L4_seed42,crashed,2026-04-21T12:01:33Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/6hub30i9,,,,,,,,,,,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T12:01:32.822217Z,"['experiment.name=rl_p1_tr_L4_seed42', 'agent=td3_transformer', 'env=hopper_full', 'seed=42', 'agent.actor.context_length=4', 'total_steps=50000', 'eval_interval=10000', 'eval_episodes=5']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,557a172ba58399d18757d7cb23acdddce43c3922,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354316705792,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,j4p5ptbjt2gn0usqgmxas32o0iajdyb0,
wcoy8bdx,rl_p1_mlp_seed42,finished,2026-04-21T12:02:10Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/wcoy8bdx,,3244.0,49.0,1776776175.3832192,{'runtime': 3244},-246.1812438964844,6.918571472167969,13.165300369262695,3229.1722756508016,500000.0,Linux-6.6.113+-x86_64-with-glibc2.35,CPython 3.12.12,2026-04-21T12:02:09.969426Z,"['experiment.name=rl_p1_mlp_seed42', 'agent=td3_mlp', 'env=hopper_full', 'seed=42', 'total_steps=500000', 'eval_interval=10000', 'eval_episodes=5']",/kaggle/working/SAiDL_Assignment/rl/src/train.py,rl/src/train.py,src/train.py,https://x-access-token:@github.com/Krish-Sachdev-7/SAiDL-Summer-Assignment2026.git,557a172ba58399d18757d7cb23acdddce43c3922,krishsachdev246@gmail.com,/kaggle/working/SAiDL_Assignment/rl,55cbe970a322,/usr/bin/python3,2.0,4.0,Tesla P100-PCIE-16GB,1.0,8656922775552,7354316754944,33662472192,"[{'name': 'Tesla P100-PCIE-16GB', 'memoryTotal': '17179869184', 'cudaCores': 3584, 'architecture': 'Pascal', 'uuid': 'GPU-ee963d55-cc88-2323-e7b1-cbf8586d8747'}]",13.0,bam1pdy939ooya14s0tt7j463kcwyjtq,
