name,attempts_nonfailed,states,crashed_or_killed_attempts,finished_attempts,latest_state,latest_run_id,latest_step,latest_return,latest_finished_run_id,latest_finished_final,best_return_any_attempt
rl_bonus_combined_L32_seed42,1,crashed:1,1,0,crashed,rbpt35zj,300000.0,99.06127624279887,,,137.93803684140627
rl_bonus_combined_L32_stable_seed42,3,crashed:2; finished:1,2,1,finished,86ypnkri,1000000.0,213.22621616584857,86ypnkri,213.22621616584857,251.59376948612908
rl_bonus_pos_learned_seed42,1,finished:1,0,1,finished,50ovpex7,1000000.0,252.25490605265236,50ovpex7,252.25490605265236,1003.8171729007614
rl_bonus_pos_learned_stable_seed42,3,finished:3,0,3,finished,jrmialcm,1000000.0,727.8204559604497,jrmialcm,727.8204559604497,862.4297139954402
rl_bonus_pos_rope_seed42,1,finished:1,0,1,finished,ok1zy14g,1000000.0,247.98592048152395,ok1zy14g,247.98592048152395,664.3862604986899
rl_bonus_pos_rope_stable_seed42,4,crashed:3; finished:1,3,1,finished,b8n09w71,1000000.0,1109.2943843901814,b8n09w71,1109.2943843901814,1266.0283198996713
rl_bonus_pos_sinusoidal_seed42,2,crashed:1; finished:1,1,1,finished,jz1iy3m6,1000000.0,249.79824626011754,jz1iy3m6,249.79824626011754,984.2910218395294
rl_bonus_pos_sinusoidal_stable_seed42,4,crashed:1; finished:3,1,3,finished,ivzdtxwf,1000000.0,899.997167200681,ivzdtxwf,899.997167200681,1567.0092067322216
rl_bonus_xlstm_hidden_stable_seed42,1,crashed:1,1,0,crashed,wnszzx8r,725000.0,757.0870419776113,,,758.3189874859735
rl_p1_mlp_seed42,1,finished:1,0,1,finished,orduqlzt,1000000.0,1364.1871593042881,orduqlzt,1364.1871593042881,3440.691669089276
rl_p1_mlp_seed43,1,finished:1,0,1,finished,12tb4cex,1000000.0,1004.2952373299988,12tb4cex,1004.2952373299988,3543.064745471174
rl_p1_mlp_seed44,1,finished:1,0,1,finished,xe1bvoqz,1000000.0,3540.1568595195276,xe1bvoqz,3540.1568595195276,3547.7903723214827
rl_p1_tr_L16_seed42,3,crashed:2; finished:1,2,1,finished,d6s0vtx6,1000000.0,3459.601632491626,d6s0vtx6,3459.601632491626,3459.601632491626
rl_p1_tr_L32_seed42,2,crashed:1; finished:1,1,1,finished,tc91exur,1000000.0,3035.6738048707057,tc91exur,3035.6738048707057,3353.244678865228
rl_p1_tr_L4_seed42,2,crashed:1; finished:1,1,1,finished,k4mmxrji,1000000.0,3509.886390875466,k4mmxrji,3509.886390875466,3596.074975237735
rl_p1_tr_L8_seed42,1,finished:1,0,1,finished,jcs1nkci,1000000.0,1778.7899750394238,jcs1nkci,1778.7899750394238,3377.4377487696534
rl_p2_delay10_mlp_seed42,1,finished:1,0,1,finished,523e0uha,1000000.0,3007.4716516753583,523e0uha,3007.4716516753583,3309.693803648309
rl_p2_delay10_tr_seed42,1,finished:1,0,1,finished,hfiawzrg,1000000.0,2954.3618575216615,hfiawzrg,2954.3618575216615,3158.508118543234
rl_p2_delay30_mlp_seed42,1,finished:1,0,1,finished,15bzu83r,1000000.0,390.43620793721857,15bzu83r,390.43620793721857,1072.5827704111578
rl_p2_delay30_tr_seed42,2,crashed:1; finished:1,1,1,finished,kkdfxotj,1000000.0,511.8055028171813,kkdfxotj,511.8055028171813,571.8985722765926
rl_p2_hidden_vel_mlp_seed42,2,crashed:1; finished:1,1,1,finished,96m7x5eb,1000000.0,318.0938958221401,96m7x5eb,318.0938958221401,999.0720552323907
rl_p2_hidden_vel_tr_seed42,1,finished:1,0,1,finished,4hl8amlc,1000000.0,253.0360907556773,4hl8amlc,253.0360907556773,986.3062590029
rl_p2_noise01_mlp_seed42,1,finished:1,0,1,finished,lgmxbqai,1000000.0,357.6118157803313,lgmxbqai,357.6118157803313,370.4859512704312
rl_p2_noise01_tr_seed42,2,crashed:1; finished:1,1,1,finished,3lt7il9g,1000000.0,288.4266890912347,3lt7il9g,288.4266890912347,304.4739820249086
rl_p2_noise03_mlp_seed42,1,finished:1,0,1,finished,anlzqstp,1000000.0,234.25775908843553,anlzqstp,234.25775908843553,266.7040750478812
rl_p2_noise03_tr_seed42,2,crashed:1; finished:1,1,1,finished,f4lc5xjg,1000000.0,324.97733271556774,f4lc5xjg,324.97733271556774,487.88243093548965
rl_p2_rlhf_tr_seed42,1,finished:1,0,1,finished,rvckskwt,1000000.0,155.56336407055952,rvckskwt,155.56336407055952,1035.3297433462044
rl_p3_attn_support_full_seed42,3,crashed:1; finished:2,1,2,finished,jx1lmi8i,1000000.0,1397.5600895246585,jx1lmi8i,1397.5600895246585,3442.6841919323006
rl_p3_attn_support_hidden_seed42,2,finished:2,0,2,finished,lap7edb6,1000000.0,296.3827258699792,lap7edb6,296.3827258699792,993.2156110992752
