setting,lag,weight
full,lag_0,0.4507072877060865
full,lag_1,0.1431502146324922
full,lag_2,0.0768050128499624
full,lag_3,0.0540201520371215
full,lag_4,0.0588957914819582
full,lag_5,0.0395983944432477
full,lag_6,0.0809272953563829
full,lag_7,0.0958958514927482
hidden,lag_0,0.7321598303836869
hidden,lag_1,0.0154903392221024
hidden,lag_2,0.1029555795124307
hidden,lag_3,0.0135950515808465
hidden,lag_4,0.0206710485708982
hidden,lag_5,0.0254520771013107
hidden,lag_6,0.0354803802921823
hidden,lag_7,0.0541956933365416
