name,state,created_at,last_step,last_return,runtime_sec,hardware,superseded_by_success
rl_p1_tr_L4_seed42,crashed,2026-05-23T14:54:21Z,770000,2639.408477529377,14051.477708583,Tesla P100-PCIE-16GB,yes
rl_p1_tr_L16_seed42,crashed,2026-05-24T06:47:04Z,190000,2252.4892410629705,4237.192045794,Tesla P100-PCIE-16GB,yes
rl_p1_tr_L16_seed42,crashed,2026-05-24T10:16:25Z,80000,695.9356613177054,1276.141255739,Tesla P100-PCIE-16GB,yes
rl_p1_tr_L16_seed42,failed,2026-05-24T10:44:18Z,,,2.0,Tesla P100-PCIE-16GB,yes
rl_p1_tr_L32_seed42,crashed,2026-05-24T17:04:35Z,50000,356.08622595878694,696.986377178,Tesla P100-PCIE-16GB,yes
rl_p2_hidden_vel_mlp_seed42,crashed,2026-05-25T21:07:26Z,170000,210.71029310322973,974.379633092,Tesla T4 x2,yes
rl_p2_noise01_tr_seed42,crashed,2026-05-26T17:45:46Z,330000,280.9657097774382,7533.268278681,Tesla T4 x2,yes
rl_p2_noise01_tr_seed42,failed,2026-05-27T03:06:23Z,,,2.0,Tesla P100-PCIE-16GB,yes
rl_p2_noise03_tr_seed42,crashed,2026-05-27T23:26:00Z,940000,471.9208185229468,19578.333613815,Tesla T4 x2,yes
rl_p2_delay30_tr_seed42,crashed,2026-05-28T15:07:29Z,420000,493.5205331091373,7945.483559997,Tesla T4 x2,yes
rl_p3_attn_support_full_seed42,crashed,2026-05-29T03:33:08Z,430000,3343.8824655864564,8338.179780816,Tesla T4 x2,yes
